,text,tokens,stopWordsRemovedTokens,rawFeatures,features,topicDistribution
14,Le Canada lance une vaste campagne d'immigration pour faire face ?? son besoin de main d'??uvre ,"['le', 'canada', 'lance', 'une', 'vaste', 'campagne', ""d'immigration"", 'pour', 'faire', 'face', '??', 'son', 'besoin', 'de', 'main', ""d'??uvre""]","['le', 'canada', 'lance', 'une', 'vaste', 'campagne', ""d'immigration"", 'pour', 'faire', 'face', '??', 'son', 'besoin', 'de', 'main', ""d'??uvre""]","(2000,[34,223,772,792,863,1178,1281,1310,1416,1488,1637,1678,1681,1959,1980,1981],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[34,223,772,792,863,1178,1281,1310,1416,1488,1637,1678,1681,1959,1980,1981],[0.0,0.0,4.63919993457,2.83470143957,4.31377753414,0.0,3.70764173057,4.63919993457,0.0,1.22779838274,5.41238982281,4.37093594798,0.0,4.02609546169,0.0,4.63919993457])","[0.378551427353,0.621448572647]"
15,L??#immigration irr?guli??re au #Canada d?cortiqu?e en 5??questions ,"['l??#immigration', 'irr?guli??re', 'au', '#canada', 'd?cortiqu?e', 'en', '5??questions']","['l??#immigration', 'irr?guli??re', 'au', '#canada', 'd?cortiqu?e', 'en', '5??questions']","(2000,[246,302,642,880,1003,1098,1583],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[246,302,642,880,1003,1098,1583],[3.51526983792,4.49609909093,2.99945667264,4.25971031287,3.41995965812,4.49609909093,5.12470775036])","[0.536107083222,0.463892916778]"
16,@Canadidly I've read the Immigration laws of Canada much stricter than the US,"['@canadidly', ""i've"", 'read', 'the', 'immigration', 'laws', 'of', 'canada', 'much', 'stricter', 'than', 'the', 'us']","['@canadidly', 'read', 'immigration', 'laws', 'canada', 'much', 'stricter', 'us']","(2000,[208,524,1279,1448,1488,1650,1878,1933],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[208,524,1279,1448,1488,1650,1878,1933],[3.87194478186,4.56509196242,4.11310683868,1.19043413599,1.22779838274,4.37093594798,5.25823914298,0.0])","[0.417301156528,0.582698843472]"
17,"Canada Immigration Website Traffic Surges And Crashes In Wake Of Trump #fasttraffic,#sitetraffic,#website,#traffic ","['canada', 'immigration', 'website', 'traffic', 'surges', 'and', 'crashes', 'in', 'wake', 'of', 'trump', '#fasttraffic,#sitetraffic,#website,#traffic']","['canada', 'immigration', 'website', 'traffic', 'surges', 'crashes', 'wake', 'trump', '#fasttraffic,#sitetraffic,#website,#traffic']","(2000,[104,604,828,937,1367,1448,1488,1697,1949],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[104,604,828,937,1367,1448,1488,1697,1949],[5.41238982281,4.90156419904,4.31377753414,4.49609909093,3.51526983792,1.19043413599,1.22779838274,5.12470775036,4.56509196242])","[0.418927897161,0.581072102839]"
18,Mr Know-all of Canada Immigration ,"['mr', 'know-all', 'of', 'canada', 'immigration']","['mr', 'know-all', 'canada', 'immigration']","(2000,[1251,1272,1448,1488],[1.0,1.0,1.0,1.0])","(2000,[1251,1272,1448,1488],[0.0,0.0,1.19043413599,1.22779838274])","[0.504262131053,0.495737868947]"
19,"Move to Canada @LadyMadonna___ Oh, immigration rules, you can't... ","['move', 'to', 'canada', '@ladymadonna___', 'oh,', 'immigration', 'rules,', 'you', ""can't...""]","['move', 'canada', '@ladymadonna___', 'oh,', 'immigration', 'rules,', ""can't...""]","(2000,[72,282,463,1448,1488,1654,1949],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[72,282,463,1448,1488,1654,1949],[5.0069247147,4.37093594798,5.41238982281,1.19043413599,1.22779838274,0.0,4.56509196242])","[0.557242020657,0.442757979343]"
20,#OnThisDay Annette Toft becomes Canada's 2 millionth immigrant since 1945. Do you know your family's immigration st??_ ,"['#onthisday', 'annette', 'toft', 'becomes', ""canada's"", '2', 'millionth', 'immigrant', 'since', '1945.', 'do', 'you', 'know', 'your', ""family's"", 'immigration', 'st??_']","['#onthisday', 'annette', 'toft', 'becomes', ""canada's"", '2', 'millionth', 'immigrant', 'since', '1945.', 'know', ""family's"", 'immigration', 'st??_']","(2000,[192,379,585,754,825,1361,1448,1449,1517,1636,1779,1866,1911,1989],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[192,379,585,754,825,1361,1448,1449,1517,1636,1779,1866,1911,1989],[5.41238982281,0.0,4.71924264225,3.44294917634,0.0,0.0,1.19043413599,5.0069247147,0.0,0.0,3.87194478186,4.11310683868,0.0,3.94605275401])","[0.413371514887,0.586628485113]"
21,Le #Canada acceptera 300.000 #migrants en 2017,"['le', '#canada', 'acceptera', '300.000', '#migrants', 'en', '2017']","['le', '#canada', 'acceptera', '300.000', '#migrants', 'en', '2017']","(2000,[642,772,826,862,902,1003,1326],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[642,772,826,862,902,1003,1326],[2.99945667264,4.63919993457,4.63919993457,0.0,5.25823914298,3.41995965812,5.12470775036])","[0.418612645612,0.581387354388]"
22,"Les m??mes tra?tres sont au pouvoir partout""","['les', 'm??mes', 'tra?tres', 'sont', 'au', 'pouvoir', 'partout""']","['les', 'm??mes', 'tra?tres', 'sont', 'au', 'pouvoir', 'partout""']","(2000,[83,246,955,1218,1358,1420,1797],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[83,246,955,1218,1358,1420,1797],[4.63919993457,3.51526983792,0.0,5.41238982281,5.12470775036,4.63919993457,4.90156419904])","[0.424675250972,0.575324749028]"
23,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.578151904622,0.421848095378]"
24,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.578152238457,0.421847761543]"
25,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.578152288004,0.421847711996]"
26,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.578151378568,0.421848621432]"
27,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.578152473028,0.421847526972]"
28,Canada immigration in the clear online ace bandage tutelage: rgxBiaX ,"['canada', 'immigration', 'in', 'the', 'clear', 'online', 'ace', 'bandage', 'tutelage:', 'rgxbiax']","['canada', 'immigration', 'clear', 'online', 'ace', 'bandage', 'tutelage:', 'rgxbiax']","(2000,[0,111,371,620,1448,1488,1923,1924],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[0,111,371,620,1448,1488,1923,1924],[4.31377753414,5.41238982281,5.12470775036,0.0,1.19043413599,1.22779838274,0.0,0.0])","[0.585514755578,0.414485244422]"
29,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.578156492906,0.421843507094]"
30,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.57815281142,0.42184718858]"
31,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.578154058992,0.421845941008]"
32,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(2000,[234,1144,1448,1462,1488,1499,1729],[1.0,1.0,2.0,1.0,1.0,2.0,1.0])","(2000,[234,1144,1448,1462,1488,1499,1729],[4.15962685431,3.90831242603,2.38086827199,2.57917647875,1.22779838274,4.81671749288,4.15962685431])","[0.57815228349,0.42184771651]"
33,I had applied for skilled immigration for Australia and Canada through Premiers international Dubai. Both my applications were rejected.,"['i', 'had', 'applied', 'for', 'skilled', 'immigration', 'for', 'australia', 'and', 'canada', 'through', 'premiers', 'international', 'dubai.', 'both', 'my', 'applications', 'were', 'rejected.']","['applied', 'skilled', 'immigration', 'australia', 'canada', 'premiers', 'international', 'dubai.', 'applications', 'rejected.']","(2000,[20,591,742,833,1402,1448,1466,1488,1547,1731],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[20,591,742,833,1402,1448,1466,1488,1547,1731],[0.0,5.12470775036,0.0,5.0069247147,5.12470775036,1.19043413599,5.25823914298,1.22779838274,0.0,0.0])","[0.435394901031,0.564605098969]"
34,"Hundreds may lose Canadian citizenship, resident status because of one corrupt immigration consultant ","['hundreds', 'may', 'lose', 'canadian', 'citizenship,', 'resident', 'status', 'because', 'of', 'one', 'corrupt', 'immigration', 'consultant']","['hundreds', 'may', 'lose', 'canadian', 'citizenship,', 'resident', 'status', 'one', 'corrupt', 'immigration', 'consultant']","(2000,[44,150,422,666,1294,1448,1462,1482,1497,1868,1954],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[44,150,422,666,1294,1448,1462,1482,1497,1868,1954],[3.37550789555,3.87194478186,3.94605275401,3.73841338924,3.54058764591,1.19043413599,2.57917647875,4.02609546169,3.90831242603,4.15962685431,4.02609546169])","[0.319296763722,0.680703236278]"
35,I wouldn't. I'd offer a shift toward a Canada-style points-based immigration system as the solution to his concerns. ,"['i', ""wouldn't."", ""i'd"", 'offer', 'a', 'shift', 'toward', 'a', 'canada-style', 'points-based', 'immigration', 'system', 'as', 'the', 'solution', 'to', 'his', 'concerns.']","[""wouldn't."", 'offer', 'shift', 'toward', 'canada-style', 'points-based', 'immigration', 'system', 'solution', 'concerns.']","(2000,[72,296,676,748,969,1003,1448,1578,1613,1639],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[72,296,676,748,969,1003,1448,1578,1613,1639],[5.0069247147,0.0,0.0,0.0,5.25823914298,3.41995965812,1.19043413599,0.0,0.0,4.37093594798])","[0.607675400062,0.392324599938]"
36,Immigration Canada: Suicide Via Self-Congratulatory ALTRUISM. ,"['immigration', 'canada:', 'suicide', 'via', 'self-congratulatory', 'altruism.']","['immigration', 'canada:', 'suicide', 'via', 'self-congratulatory', 'altruism.']","(2000,[595,1003,1233,1324,1448,1628],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[595,1003,1233,1324,1448,1628],[3.46647967375,3.41995965812,4.37093594798,5.12470775036,1.19043413599,4.56509196242])","[0.540715746665,0.459284253335]"
37,Canada's immigration website crashes on election night ,"[""canada's"", 'immigration', 'website', 'crashes', 'on', 'election', 'night']","[""canada's"", 'immigration', 'website', 'crashes', 'election', 'night']","(2000,[76,132,754,937,1448,1697],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[76,132,754,937,1448,1697],[4.56509196242,5.12470775036,3.44294917634,4.49609909093,1.19043413599,5.12470775036])","[0.382651902388,0.617348097612]"
38,Good; and this will probably will increase intl student applications given the state of US right now ,"['good;', 'and', 'this', 'will', 'probably', 'will', 'increase', 'intl', 'student', 'applications', 'given', 'the', 'state', 'of', 'us', 'right', 'now']","['good;', 'probably', 'increase', 'intl', 'student', 'applications', 'given', 'state', 'us', 'right']","(2000,[208,297,342,500,574,742,1252,1345,1349,1963],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[208,297,342,500,574,742,1252,1345,1349,1963],[3.87194478186,0.0,0.0,5.25823914298,4.31377753414,0.0,4.90156419904,3.80295191037,5.41238982281,4.80625401924])","[0.33106378023,0.66893621977]"
39,Canada is blessed for being a peacemaker:,"['canada', 'is', 'blessed', 'for', 'being', 'a', 'peacemaker:']","['canada', 'blessed', 'peacemaker:']","(2000,[761,1011,1488],[1.0,1.0,1.0])","(2000,[761,1011,1488],[5.41238982281,0.0,1.22779838274])","[0.45716435272,0.54283564728]"
40,Blessed are the peacemakers: for they will be called children of God.,"['blessed', 'are', 'the', 'peacemakers:', 'for', 'they', 'will', 'be', 'called', 'children', 'of', 'god.']","['blessed', 'peacemakers:', 'called', 'children', 'god.']","(2000,[245,361,761,1398,1526],[1.0,1.0,1.0,1.0,1.0])","(2000,[245,361,761,1398,1526],[0.0,4.56509196242,5.41238982281,0.0,4.4315605698])","[0.436848449609,0.563151550391]"
41,@montesolberg Now add the fact she should not be in parliment or Canada. She entered Canada illegally by falsifying immigration papers,"['@montesolberg', 'now', 'add', 'the', 'fact', 'she', 'should', 'not', 'be', 'in', 'parliment', 'or', 'canada.', 'she', 'entered', 'canada', 'illegally', 'by', 'falsifying', 'immigration', 'papers']","['@montesolberg', 'add', 'fact', 'parliment', 'canada.', 'entered', 'canada', 'illegally', 'falsifying', 'immigration', 'papers']","(2000,[290,365,394,432,465,1215,1448,1488,1884,1885,1904],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[290,365,394,432,465,1215,1448,1488,1884,1885,1904],[5.41238982281,4.49609909093,3.62063035358,5.41238982281,0.0,5.12470775036,1.19043413599,1.22779838274,5.41238982281,0.0,0.0])","[0.656902730212,0.343097269788]"
42,@leilaakais l immigration au Canada est un bizness comme le p?trole ou le bois,"['@leilaakais', 'l', 'immigration', 'au', 'canada', 'est', 'un', 'bizness', 'comme', 'le', 'p?trole', 'ou', 'le', 'bois']","['@leilaakais', 'l', 'immigration', 'au', 'canada', 'est', 'un', 'bizness', 'comme', 'le', 'p?trole', 'ou', 'le', 'bois']","(2000,[6,246,772,841,982,1157,1307,1448,1488,1790,1799,1855],[1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[6,246,772,841,982,1157,1307,1448,1488,1790,1799,1855],[0.0,3.51526983792,9.27839986915,4.56509196242,10.8247796456,4.71924264225,0.0,1.19043413599,1.22779838274,4.90156419904,0.0,0.0])","[0.341675211125,0.658324788875]"
43,@Paola_Dec1231 @MaryamMonsef @HuffPostCanada Deport the lying Immigration fraudster scumbag. She betrayed Canada &amp;??_ ,"['@paola_dec1231', '@maryammonsef', '@huffpostcanada', 'deport', 'the', 'lying', 'immigration', 'fraudster', 'scumbag.', 'she', 'betrayed', 'canada', '&amp;??_']","['@paola_dec1231', '@maryammonsef', '@huffpostcanada', 'deport', 'lying', 'immigration', 'fraudster', 'scumbag.', 'betrayed', 'canada', '&amp;??_']","(2000,[46,359,583,585,646,779,954,1147,1307,1448,1488],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[46,359,583,585,646,779,954,1147,1307,1448,1488],[5.41238982281,0.0,0.0,4.71924264225,5.25823914298,0.0,4.71924264225,0.0,0.0,1.19043413599,1.22779838274])","[0.474025533106,0.525974466894]"
