,text,tokens,stopWordsRemovedTokens,rawFeatures,prediction
10,L??immigration irr?guli??re au Canada d?cortiqu?e en 5 questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","(1048576,[21744,56206,73510,271703,626016,686875,784424,876121],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
11,L'immigration irr?guli??re au Canada d?cortiqu?e en 5 questions - ,"[""l'immigration"", 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions', '-']","[""l'immigration"", 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions', '-']","(1048576,[21744,56206,73510,271703,362116,569819,626016,686875,876121],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
12,Will Media ask the Liberals if they actually have a solid plan for Canada _??_?_?? From my view -- immigration out of C??_ ,"['will', 'media', 'ask', 'the', 'liberals', 'if', 'they', 'actually', 'have', 'a', 'solid', 'plan', 'for', 'canada', '_??_?_??', 'from', 'my', 'view', '--', 'immigration', 'out', 'of', 'c??_']","['media', 'ask', 'liberals', 'actually', 'solid', 'plan', 'canada', '_??_?_??', 'view', '--', 'immigration', 'c??_']","(1048576,[111304,130219,395119,560608,563026,613101,626016,634098,715524,952269,992513,1018859],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
13,Dan Murray of??Immigration Watch Canada is xenophobic racist fear-mongering liar #racism #canada #cdnpoli #hatecrime??_ ,"['dan', 'murray', 'of??immigration', 'watch', 'canada', 'is', 'xenophobic', 'racist', 'fear-mongering', 'liar', '#racism', '#canada', '#cdnpoli', '#hatecrime??_']","['dan', 'murray', 'of??immigration', 'watch', 'canada', 'xenophobic', 'racist', 'fear-mongering', 'liar', '#racism', '#canada', '#cdnpoli', '#hatecrime??_']","(1048576,[60983,198376,380449,450856,482912,626016,735095,758722,822929,874631,904354,960393,1040706],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1
14,Le Canada lance une vaste campagne d'immigration pour faire face ?? son besoin de main d'??uvre ,"['le', 'canada', 'lance', 'une', 'vaste', 'campagne', ""d'immigration"", 'pour', 'faire', 'face', '??', 'son', 'besoin', 'de', 'main', ""d'??uvre""]","['le', 'canada', 'lance', 'une', 'vaste', 'campagne', ""d'immigration"", 'pour', 'faire', 'face', '??', 'son', 'besoin', 'de', 'main', ""d'??uvre""]","(1048576,[21832,36449,144222,247394,271925,279868,374471,626016,643706,661928,718254,809652,901167,916669,1005025,1023247],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
15,L??#immigration irr?guli??re au #Canada d?cortiqu?e en 5??questions ,"['l??#immigration', 'irr?guli??re', 'au', '#canada', 'd?cortiqu?e', 'en', '5??questions']","['l??#immigration', 'irr?guli??re', 'au', '#canada', 'd?cortiqu?e', 'en', '5??questions']","(1048576,[21744,56206,73510,238938,349695,686875,904354],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1
16,@Canadidly I've read the Immigration laws of Canada much stricter than the US,"['@canadidly', ""i've"", 'read', 'the', 'immigration', 'laws', 'of', 'canada', 'much', 'stricter', 'than', 'the', 'us']","['@canadidly', 'read', 'immigration', 'laws', 'canada', 'much', 'stricter', 'us']","(1048576,[76764,111304,315714,393775,470237,546160,626016,824774],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
17,"Canada Immigration Website Traffic Surges And Crashes In Wake Of Trump #fasttraffic,#sitetraffic,#website,#traffic ","['canada', 'immigration', 'website', 'traffic', 'surges', 'and', 'crashes', 'in', 'wake', 'of', 'trump', '#fasttraffic,#sitetraffic,#website,#traffic']","['canada', 'immigration', 'website', 'traffic', 'surges', 'crashes', 'wake', 'trump', '#fasttraffic,#sitetraffic,#website,#traffic']","(1048576,[7612,111304,345245,414172,492312,583465,626016,639057,815975],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
18,Mr Know-all of Canada Immigration ,"['mr', 'know-all', 'of', 'canada', 'immigration']","['mr', 'know-all', 'canada', 'immigration']","(1048576,[111304,331528,626016,962755],[1.0,1.0,1.0,1.0])",0
19,"Move to Canada @LadyMadonna___ Oh, immigration rules, you can't... ","['move', 'to', 'canada', '@ladymadonna___', 'oh,', 'immigration', 'rules,', 'you', ""can't...""]","['move', 'canada', '@ladymadonna___', 'oh,', 'immigration', 'rules,', ""can't...""]","(1048576,[111304,159066,332310,603087,626016,801544,928125],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
20,#OnThisDay Annette Toft becomes Canada's 2 millionth immigrant since 1945. Do you know your family's immigration st??_ ,"['#onthisday', 'annette', 'toft', 'becomes', ""canada's"", '2', 'millionth', 'immigrant', 'since', '1945.', 'do', 'you', 'know', 'your', ""family's"", 'immigration', 'st??_']","['#onthisday', 'annette', 'toft', 'becomes', ""canada's"", '2', 'millionth', 'immigrant', 'since', '1945.', 'know', ""family's"", 'immigration', 'st??_']","(1048576,[45897,67684,111304,143933,356711,418762,454281,468882,623025,652137,657595,684224,927363,998485],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
21,Le #Canada acceptera 300.000 #migrants en 2017,"['le', '#canada', 'acceptera', '300.000', '#migrants', 'en', '2017']","['le', '#canada', 'acceptera', '300.000', '#migrants', 'en', '2017']","(1048576,[280710,300202,686875,809652,904354,988734,1006078],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1
22,"Les m??mes tra?tres sont au pouvoir partout""","['les', 'm??mes', 'tra?tres', 'sont', 'au', 'pouvoir', 'partout""']","['les', 'm??mes', 'tra?tres', 'sont', 'au', 'pouvoir', 'partout""']","(1048576,[10668,69123,73510,182738,218219,280165,1029438],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
23,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
24,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
25,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
26,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
27,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
28,Canada immigration in the clear online ace bandage tutelage: rgxBiaX ,"['canada', 'immigration', 'in', 'the', 'clear', 'online', 'ace', 'bandage', 'tutelage:', 'rgxbiax']","['canada', 'immigration', 'clear', 'online', 'ace', 'bandage', 'tutelage:', 'rgxbiax']","(1048576,[19136,35492,111304,322239,464643,626016,671676,819747],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
29,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
30,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
31,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
32,Immigration Developments From The Fall Economic Statement - Immigration - Canada ,"['immigration', 'developments', 'from', 'the', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","['immigration', 'developments', 'fall', 'economic', 'statement', '-', 'immigration', '-', 'canada']","(1048576,[8186,37521,111304,454886,569819,626016,853720],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0
33,I had applied for skilled immigration for Australia and Canada through Premiers international Dubai. Both my applications were rejected.,"['i', 'had', 'applied', 'for', 'skilled', 'immigration', 'for', 'australia', 'and', 'canada', 'through', 'premiers', 'international', 'dubai.', 'both', 'my', 'applications', 'were', 'rejected.']","['applied', 'skilled', 'immigration', 'australia', 'canada', 'premiers', 'international', 'dubai.', 'applications', 'rejected.']","(1048576,[70954,111304,117123,155796,280134,304383,551857,626016,645578,1023659],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
34,"Hundreds may lose Canadian citizenship, resident status because of one corrupt immigration consultant ","['hundreds', 'may', 'lose', 'canadian', 'citizenship,', 'resident', 'status', 'because', 'of', 'one', 'corrupt', 'immigration', 'consultant']","['hundreds', 'may', 'lose', 'canadian', 'citizenship,', 'resident', 'status', 'one', 'corrupt', 'immigration', 'consultant']","(1048576,[111304,140586,161862,181609,203154,322438,393050,456854,465662,649660,1025628],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
35,I wouldn't. I'd offer a shift toward a Canada-style points-based immigration system as the solution to his concerns. ,"['i', ""wouldn't."", ""i'd"", 'offer', 'a', 'shift', 'toward', 'a', 'canada-style', 'points-based', 'immigration', 'system', 'as', 'the', 'solution', 'to', 'his', 'concerns.']","[""wouldn't."", 'offer', 'shift', 'toward', 'canada-style', 'points-based', 'immigration', 'system', 'solution', 'concerns.']","(1048576,[111304,121356,122890,241625,309117,480535,560747,629752,838296,1040772],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
36,Immigration Canada: Suicide Via Self-Congratulatory ALTRUISM. ,"['immigration', 'canada:', 'suicide', 'via', 'self-congratulatory', 'altruism.']","['immigration', 'canada:', 'suicide', 'via', 'self-congratulatory', 'altruism.']","(1048576,[111304,385123,683057,820892,917292,1004939],[1.0,1.0,1.0,1.0,1.0,1.0])",0
37,Canada's immigration website crashes on election night ,"[""canada's"", 'immigration', 'website', 'crashes', 'on', 'election', 'night']","[""canada's"", 'immigration', 'website', 'crashes', 'election', 'night']","(1048576,[66092,111304,468882,479460,583465,639057],[1.0,1.0,1.0,1.0,1.0,1.0])",0
38,Good; and this will probably will increase intl student applications given the state of US right now ,"['good;', 'and', 'this', 'will', 'probably', 'will', 'increase', 'intl', 'student', 'applications', 'given', 'the', 'state', 'of', 'us', 'right', 'now']","['good;', 'probably', 'increase', 'intl', 'student', 'applications', 'given', 'state', 'us', 'right']","(1048576,[118590,185777,280134,283172,411065,480261,546160,590726,740708,834251],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
39,Canada is blessed for being a peacemaker:,"['canada', 'is', 'blessed', 'for', 'being', 'a', 'peacemaker:']","['canada', 'blessed', 'peacemaker:']","(1048576,[507715,554281,626016],[1.0,1.0,1.0])",0
40,Blessed are the peacemakers: for they will be called children of God.,"['blessed', 'are', 'the', 'peacemakers:', 'for', 'they', 'will', 'be', 'called', 'children', 'of', 'god.']","['blessed', 'peacemakers:', 'called', 'children', 'god.']","(1048576,[30905,39382,178534,554281,952773],[1.0,1.0,1.0,1.0,1.0])",0
41,@montesolberg Now add the fact she should not be in parliment or Canada. She entered Canada illegally by falsifying immigration papers,"['@montesolberg', 'now', 'add', 'the', 'fact', 'she', 'should', 'not', 'be', 'in', 'parliment', 'or', 'canada.', 'she', 'entered', 'canada', 'illegally', 'by', 'falsifying', 'immigration', 'papers']","['@montesolberg', 'add', 'fact', 'parliment', 'canada.', 'entered', 'canada', 'illegally', 'falsifying', 'immigration', 'papers']","(1048576,[111304,136204,150794,167503,179277,608880,615488,626016,634157,803282,931153],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
42,@leilaakais l immigration au Canada est un bizness comme le p?trole ou le bois,"['@leilaakais', 'l', 'immigration', 'au', 'canada', 'est', 'un', 'bizness', 'comme', 'le', 'p?trole', 'ou', 'le', 'bois']","['@leilaakais', 'l', 'immigration', 'au', 'canada', 'est', 'un', 'bizness', 'comme', 'le', 'p?trole', 'ou', 'le', 'bois']","(1048576,[73287,73510,111304,126955,232421,455638,626016,701958,743161,769886,809652,999734,1014095],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0])",0
43,@Paola_Dec1231 @MaryamMonsef @HuffPostCanada Deport the lying Immigration fraudster scumbag. She betrayed Canada &amp;??_ ,"['@paola_dec1231', '@maryammonsef', '@huffpostcanada', 'deport', 'the', 'lying', 'immigration', 'fraudster', 'scumbag.', 'she', 'betrayed', 'canada', '&amp;??_']","['@paola_dec1231', '@maryammonsef', '@huffpostcanada', 'deport', 'lying', 'immigration', 'fraudster', 'scumbag.', 'betrayed', 'canada', '&amp;??_']","(1048576,[111304,163659,280670,313594,502775,624726,626016,683435,867831,925755,1006185],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
44,L??immigration irr?guli??re au Canada d?cortiqu?e en 5 questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","(1048576,[21744,56206,73510,271703,626016,686875,784424,876121],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
45,L??immigration irr?guli??re au Canada d?cortiqu?e en 5??questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5??questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5??questions']","(1048576,[21744,56206,73510,349695,626016,686875,784424],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
46,L??immigration irr?guli??re au Canada d?cortiqu?e en 5 questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","(1048576,[21744,56206,73510,271703,626016,686875,784424,876121],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
47,L??immigration irr?guli??re au Canada d?cortiqu?e en 5 questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","(1048576,[21744,56206,73510,271703,626016,686875,784424,876121],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
48,L??immigration irr?guli??re au Canada d?cortiqu?e en 5 questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","(1048576,[21744,56206,73510,271703,626016,686875,784424,876121],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
49,Mexican visa lift kicking in today expected to cost Canada $262M over a decade ,"['mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(1048576,[33049,140904,231320,297988,406038,408938,576106,612444,616254,626016],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
50,.@TheEconomist profiles Canada's open immigration policies &amp; how they contribute to our economic success:??_ ,"['.@theeconomist', 'profiles', ""canada's"", 'open', 'immigration', 'policies', '&amp;', 'how', 'they', 'contribute', 'to', 'our', 'economic', 'success:??_']","['.@theeconomist', 'profiles', ""canada's"", 'open', 'immigration', 'policies', '&amp;', 'contribute', 'economic', 'success:??_']","(1048576,[111304,282926,468882,647832,693815,737310,772428,853720,878047,963756],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
51,Canada Immigration  ?_??_??_??_??__?_? ?_??_? ?_??_??_? ?_??_??_??_??_? ?_??_??__?_? ?__?_??__ ?_??__?__?_??_? ?_??_??__?__?_??_? ?_??_??_??_?......... ,"['canada', 'immigration', '', '?_??_??_??_??__?_?', '?_??_?', '?_??_??_?', '?_??_??_??_??_?', '?_??_??__?_?', '?__?_??__', '?_??__?__?_??_?', '?_??_??__?__?_??_?', '?_??_??_??_?.........']","['canada', 'immigration', '', '?_??_??_??_??__?_?', '?_??_?', '?_??_??_?', '?_??_??_??_??_?', '?_??_??__?_?', '?__?_??__', '?_??__?__?_??_?', '?_??_??__?__?_??_?', '?_??_??_??_?.........']","(1048576,[111304,358710,521578,601792,626016,633828,747867,840125,879965,904546,992565,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
52,New plan: bribe Canadian immigration with 1000 bottles of Canada Dry.,"['new', 'plan:', 'bribe', 'canadian', 'immigration', 'with', '1000', 'bottles', 'of', 'canada', 'dry.']","['new', 'plan:', 'bribe', 'canadian', 'immigration', '1000', 'bottles', 'canada', 'dry.']","(1048576,[29945,38179,111304,205074,251323,325383,393050,626016,810892],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
53,.@TheEconomist profiles Canada's open immigration policies &amp; how they contribute to our economic success:??_ ,"['.@theeconomist', 'profiles', ""canada's"", 'open', 'immigration', 'policies', '&amp;', 'how', 'they', 'contribute', 'to', 'our', 'economic', 'success:??_']","['.@theeconomist', 'profiles', ""canada's"", 'open', 'immigration', 'policies', '&amp;', 'contribute', 'economic', 'success:??_']","(1048576,[111304,282926,468882,647832,693815,737310,772428,853720,878047,963756],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
54,"Hundreds may lose Canadian citizenship, resident status because of one corrupt immigration consultant ","['hundreds', 'may', 'lose', 'canadian', 'citizenship,', 'resident', 'status', 'because', 'of', 'one', 'corrupt', 'immigration', 'consultant']","['hundreds', 'may', 'lose', 'canadian', 'citizenship,', 'resident', 'status', 'one', 'corrupt', 'immigration', 'consultant']","(1048576,[111304,140586,161862,181609,203154,322438,393050,456854,465662,649660,1025628],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
55,Immigration for canada without india: an compassionate handle: deyFy,"['immigration', 'for', 'canada', 'without', 'india:', 'an', 'compassionate', 'handle:', 'deyfy']","['immigration', 'canada', 'without', 'india:', 'compassionate', 'handle:', 'deyfy']","(1048576,[74726,111304,230284,493572,626016,743585,792627],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
56,#Jamaican #immigrants #Canada,"['#jamaican', '#immigrants', '#canada']","['#jamaican', '#immigrants', '#canada']","(1048576,[125300,739252,904354],[1.0,1.0,1.0])",1
57,"#statistics #immigration""","['#statistics', '#immigration""']","['#statistics', '#immigration""']","(1048576,[54523,1002055],[1.0,1.0])",0
58,Mexican visa lift expected to cost Canada $262M over a decade ,"['mexican', 'visa', 'lift', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'expected', 'cost', 'canada', '$262m', 'decade']","(1048576,[33049,140904,231320,297988,408938,576106,612444,626016],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
59,"Are people still moving to #Canada ??? Oh that's right, they have real immigration laws and it's??_ ","['are', 'people', 'still', 'moving', 'to', '#canada', '???', 'oh', ""that's"", 'right,', 'they', 'have', 'real', 'immigration', 'laws', 'and', ""it's??_""]","['people', 'still', 'moving', '#canada', '???', 'oh', 'right,', 'real', 'immigration', 'laws', ""it's??_""]","(1048576,[111304,118792,174475,248630,303029,376501,376830,393775,560488,904354,993617],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1
60,"Here are more details on the Richmond, B.C. Immigration Consultant Sunny Wang who was sentenced to 7 years in... ","['here', 'are', 'more', 'details', 'on', 'the', 'richmond,', 'b.c.', 'immigration', 'consultant', 'sunny', 'wang', 'who', 'was', 'sentenced', 'to', '7', 'years', 'in...']","['details', 'richmond,', 'b.c.', 'immigration', 'consultant', 'sunny', 'wang', 'sentenced', '7', 'years', 'in...']","(1048576,[94152,111304,161862,339243,365260,464592,598761,733028,778985,859990,925344],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
61,I added a video to a @YouTube playlist ,"['i', 'added', 'a', 'video', 'to', 'a', '@youtube', 'playlist']","['added', 'video', '@youtube', 'playlist']","(1048576,[479046,568167,989848,1040362],[1.0,1.0,1.0,1.0])",0
62,Mexicans Can Now Travel Visa-Free To Canada ,"['mexicans', 'can', 'now', 'travel', 'visa-free', 'to', 'canada']","['mexicans', 'travel', 'visa-free', 'canada']","(1048576,[526018,576024,626016,872803],[1.0,1.0,1.0,1.0])",0
