,text,label,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
11,@FoxNews You know that most people think you are about the most ignorant SOB on FOX!,0,"['@foxnews', 'you', 'know', 'that', 'most', 'people', 'think', 'you', 'are', 'about', 'the', 'most', 'ignorant', 'sob', 'on', 'fox!']","['@foxnews', 'know', 'people', 'think', 'ignorant', 'sob', 'fox!']","(1048576,[70028,249073,376830,574478,598852,927363,1025806],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[70028,249073,376830,574478,598852,927363,1025806],[4.22244456485,5.13873529672,4.44558811616,5.13873529672,5.13873529672,3.7524409356,5.13873529672])",4
12,"Join the UPS team! See our latest #job opening here: https://t.co/9WZ66g2Xfb #Labor #NewOrleans, LA #Hiring #CareerArc",0,"['join', 'the', 'ups', 'team!', 'see', 'our', 'latest', '#job', 'opening', 'here:', 'https://t.co/9wz66g2xfb', '#labor', '#neworleans,', 'la', '#hiring', '#careerarc']","['join', 'ups', 'team!', 'see', 'latest', '#job', 'opening', 'here:', 'https://t.co/9wz66g2xfb', '#labor', '#neworleans,', 'la', '#hiring', '#careerarc']","(1048576,[78474,122254,215995,237920,241693,249357,303515,366731,434352,546607,695983,770186,846161,1021672],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[78474,122254,215995,237920,241693,249357,303515,366731,434352,546607,695983,770186,846161,1021672],[3.19282514767,2.3978952728,2.83615020373,5.13873529672,5.13873529672,5.13873529672,4.44558811616,3.3469758275,3.52929738429,2.27653441579,2.36614657448,2.88744349812,4.44558811616,3.43398720449])",4
13,"We're #hiring! Read about our latest #job opening here: Content Strategist - https://t.co/DCea8UeLvZ #Writing #Minneapolis, MN #CareerArc",0,"[""we're"", '#hiring!', 'read', 'about', 'our', 'latest', '#job', 'opening', 'here:', 'content', 'strategist', '-', 'https://t.co/dcea8uelvz', '#writing', '#minneapolis,', 'mn', '#careerarc']","['#hiring!', 'read', 'latest', '#job', 'opening', 'here:', 'content', 'strategist', '-', 'https://t.co/dcea8uelvz', '#writing', '#minneapolis,', 'mn', '#careerarc']","(1048576,[54831,65861,78474,122254,315714,366731,458840,540233,546607,569819,618504,754660,770186,843237],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[54831,65861,78474,122254,315714,366731,458840,540233,546607,569819,618504,754660,770186,843237],[5.13873529672,5.13873529672,3.19282514767,2.3978952728,4.22244456485,3.3469758275,5.13873529672,3.88597232823,2.27653441579,2.57378593926,5.13873529672,4.44558811616,2.88744349812,5.13873529672])",4
14,"See our latest #Austin, TX #job and click to apply: Teller - https://t.co/furRKR0FLS #Banking #Hiring #CareerArc",0,"['see', 'our', 'latest', '#austin,', 'tx', '#job', 'and', 'click', 'to', 'apply:', 'teller', '-', 'https://t.co/furrkr0fls', '#banking', '#hiring', '#careerarc']","['see', 'latest', '#austin,', 'tx', '#job', 'click', 'apply:', 'teller', '-', 'https://t.co/furrkr0fls', '#banking', '#hiring', '#careerarc']","(1048576,[122254,215995,329070,398402,515512,546607,569819,695983,715407,722728,738087,770186,1031255],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,215995,329070,398402,515512,546607,569819,695983,715407,722728,738087,770186,1031255],[2.3978952728,2.83615020373,5.13873529672,3.63465789995,4.44558811616,2.27653441579,2.57378593926,2.36614657448,5.13873529672,4.73327018862,4.73327018862,2.88744349812,3.43398720449])",4
15,"Want to work at OHL North America? We're #hiring in #Austin, TX! Click for details: https://t.co/FosNDqhBVr… https://t.co/ZY68Fd4NYj",0,"['want', 'to', 'work', 'at', 'ohl', 'north', 'america?', ""we're"", '#hiring', 'in', '#austin,', 'tx!', 'click', 'for', 'details:', 'https://t.co/fosndqhbvr…', 'https://t.co/zy68fd4nyj']","['want', 'work', 'ohl', 'north', 'america?', '#hiring', '#austin,', 'tx!', 'click', 'details:', 'https://t.co/fosndqhbvr…', 'https://t.co/zy68fd4nyj']","(1048576,[140137,146217,190256,284144,330976,515512,587384,689078,695983,820775,850056,1031255],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[140137,146217,190256,284144,330976,515512,587384,689078,695983,820775,850056,1031255],[5.13873529672,5.13873529672,3.88597232823,5.13873529672,5.13873529672,4.44558811616,5.13873529672,4.73327018862,2.36614657448,2.88744349812,4.73327018862,3.43398720449])",4
16,"Want to work in #SheboyganFalls, WI? View our latest opening: https://t.co/K9lfOLpVVE #KellyJobs #KellyServices… https://t.co/x9X6FvYfMb",0,"['want', 'to', 'work', 'in', '#sheboyganfalls,', 'wi?', 'view', 'our', 'latest', 'opening:', 'https://t.co/k9lfolpvve', '#kellyjobs', '#kellyservices…', 'https://t.co/x9x6fvyfmb']","['want', 'work', '#sheboyganfalls,', 'wi?', 'view', 'latest', 'opening:', 'https://t.co/k9lfolpvve', '#kellyjobs', '#kellyservices…', 'https://t.co/x9x6fvyfmb']","(1048576,[178249,190256,318759,328899,568074,613101,673672,731220,770186,799219,820775],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[178249,190256,318759,328899,568074,613101,673672,731220,770186,799219,820775],[5.13873529672,3.88597232823,5.13873529672,5.13873529672,5.13873529672,5.13873529672,5.13873529672,5.13873529672,2.88744349812,5.13873529672,2.88744349812])",4
17,"Can you recommend anyone for this #job in #Addison, TX? https://t.co/IVSOBEwhuY #Art #Hiring #CareerArc",0,"['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job', 'in', '#addison,', 'tx?', 'https://t.co/ivsobewhuy', '#art', '#hiring', '#careerarc']","['recommend', 'anyone', '#job', '#addison,', 'tx?', 'https://t.co/ivsobewhuy', '#art', '#hiring', '#careerarc']","(1048576,[72923,122254,129613,138193,233639,546607,695983,760753,885348],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[72923,122254,129613,138193,233639,546607,695983,760753,885348],[5.13873529672,2.3978952728,3.63465789995,3.52929738429,5.13873529672,2.27653441579,2.36614657448,5.13873529672,4.44558811616])",4
18,"We're #hiring! Read about our latest #job opening here: Staff Agile Transformer - https://t.co/m0FnJFELe9 #IT #Milwaukee, WI #CareerArc",0,"[""we're"", '#hiring!', 'read', 'about', 'our', 'latest', '#job', 'opening', 'here:', 'staff', 'agile', 'transformer', '-', 'https://t.co/m0fnjfele9', '#it', '#milwaukee,', 'wi', '#careerarc']","['#hiring!', 'read', 'latest', '#job', 'opening', 'here:', 'staff', 'agile', 'transformer', '-', 'https://t.co/m0fnjfele9', '#it', '#milwaukee,', 'wi', '#careerarc']","(1048576,[63131,78474,122254,315714,366731,374360,442267,540233,546607,569819,669611,716226,770186,928253,938305],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[63131,78474,122254,315714,366731,374360,442267,540233,546607,569819,669611,716226,770186,928253,938305],[5.13873529672,3.19282514767,2.3978952728,4.22244456485,3.3469758275,5.13873529672,4.44558811616,3.88597232823,2.27653441579,2.57378593926,5.13873529672,5.13873529672,2.88744349812,5.13873529672,4.73327018862])",4
19,Like can we not have purple out day. Change Monday to career day and Thursday can be character day like come on. ???????????????,0,"['like', 'can', 'we', 'not', 'have', 'purple', 'out', 'day.', 'change', 'monday', 'to', 'career', 'day', 'and', 'thursday', 'can', 'be', 'character', 'day', 'like', 'come', 'on.', '??\u200d????\u200d????\u200d??']","['like', 'purple', 'day.', 'change', 'monday', 'career', 'day', 'thursday', 'character', 'day', 'like', 'come', 'on.', '??\u200d????\u200d????\u200d??']","(1048576,[92646,283750,326418,466524,470402,516163,518010,739509,800389,812827,988434,1006557],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1048576,[92646,283750,326418,466524,470402,516163,518010,739509,800389,812827,988434,1006557],[4.73327018862,5.13873529672,5.13873529672,4.04012300806,6.24766455236,5.13873529672,5.13873529672,5.13873529672,7.05859476858,5.13873529672,4.44558811616,5.13873529672])",4
20,"Can you recommend anyone for this #job? Assemblers/Finishers for Medical Manufacturing- Memphis, TN -… https://t.co/YJBROpXKPM",0,"['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job?', 'assemblers/finishers', 'for', 'medical', 'manufacturing-', 'memphis,', 'tn', '-…', 'https://t.co/yjbropxkpm']","['recommend', 'anyone', '#job?', 'assemblers/finishers', 'medical', 'manufacturing-', 'memphis,', 'tn', '-…', 'https://t.co/yjbropxkpm']","(1048576,[129613,138193,234154,243998,339710,570538,572169,788409,856842,945636],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[129613,138193,234154,243998,339710,570538,572169,788409,856842,945636],[3.63465789995,3.52929738429,5.13873529672,5.13873529672,4.22244456485,5.13873529672,5.13873529672,5.13873529672,4.22244456485,4.73327018862])",4
21,"See our latest #ElReno, OK #job and click to apply: Operator (El Reno/Lindsay/Velma 1611 - https://t.co/HFoSoxAm5y… https://t.co/ivSHeEG1iy",0,"['see', 'our', 'latest', '#elreno,', 'ok', '#job', 'and', 'click', 'to', 'apply:', 'operator', '(el', 'reno/lindsay/velma', '1611', '-', 'https://t.co/hfosoxam5y…', 'https://t.co/ivsheeg1iy']","['see', 'latest', '#elreno,', 'ok', '#job', 'click', 'apply:', 'operator', '(el', 'reno/lindsay/velma', '1611', '-', 'https://t.co/hfosoxam5y…', 'https://t.co/ivsheeg1iy']","(1048576,[122254,122516,215995,272914,371048,398402,500743,569819,770186,828513,904499,969297,1017601,1031255],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,122516,215995,272914,371048,398402,500743,569819,770186,828513,904499,969297,1017601,1031255],[2.3978952728,3.88597232823,2.83615020373,5.13873529672,5.13873529672,3.63465789995,5.13873529672,2.57378593926,2.88744349812,5.13873529672,5.13873529672,5.13873529672,5.13873529672,3.43398720449])",4
22,"If you're looking for work in #Sulphur, LA, check out this #job: https://t.co/x2j3wKkJMQ #QA #Hiring #CareerArc",0,"['if', ""you're"", 'looking', 'for', 'work', 'in', '#sulphur,', 'la,', 'check', 'out', 'this', '#job:', 'https://t.co/x2j3wkkjmq', '#qa', '#hiring', '#careerarc']","['looking', 'work', '#sulphur,', 'la,', 'check', '#job:', 'https://t.co/x2j3wkkjmq', '#qa', '#hiring', '#careerarc']","(1048576,[174977,309997,490307,546607,695983,820775,951537,991355,993063,1006010],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[174977,309997,490307,546607,695983,820775,951537,991355,993063,1006010],[5.13873529672,3.43398720449,5.13873529672,2.27653441579,2.36614657448,2.88744349812,4.73327018862,3.12383227618,5.13873529672,3.3469758275])",4
23,"See our latest #Syracuse, NY #job and click to apply: Recruiting Admin - https://t.co/dqSlWMSsu7 #Recruiting #Hiring #CareerArc",0,"['see', 'our', 'latest', '#syracuse,', 'ny', '#job', 'and', 'click', 'to', 'apply:', 'recruiting', 'admin', '-', 'https://t.co/dqslwmssu7', '#recruiting', '#hiring', '#careerarc']","['see', 'latest', '#syracuse,', 'ny', '#job', 'click', 'apply:', 'recruiting', 'admin', '-', 'https://t.co/dqslwmssu7', '#recruiting', '#hiring', '#careerarc']","(1048576,[61475,122254,215995,375032,398402,484438,530513,546607,569819,586792,695983,770186,789465,1031255],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[61475,122254,215995,375032,398402,484438,530513,546607,569819,586792,695983,770186,789465,1031255],[5.13873529672,2.3978952728,2.83615020373,5.13873529672,3.63465789995,5.13873529672,5.13873529672,2.27653441579,2.57378593926,5.13873529672,2.36614657448,2.88744349812,5.13873529672,3.43398720449])",4
24,"This #job might be a great fit for you: Research Microbiologist-Dallas, TX - https://t.co/A9o5I8QZAC #KellyJobs… https://t.co/W6nsKZD4pm",0,"['this', '#job', 'might', 'be', 'a', 'great', 'fit', 'for', 'you:', 'research', 'microbiologist-dallas,', 'tx', '-', 'https://t.co/a9o5i8qzac', '#kellyjobs…', 'https://t.co/w6nskzd4pm']","['#job', 'might', 'great', 'fit', 'you:', 'research', 'microbiologist-dallas,', 'tx', '-', 'https://t.co/a9o5i8qzac', '#kellyjobs…', 'https://t.co/w6nskzd4pm']","(1048576,[53526,112457,122254,138356,388975,405864,409945,524317,558192,569819,722728,943069],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[53526,112457,122254,138356,388975,405864,409945,524317,558192,569819,722728,943069],[5.13873529672,5.13873529672,2.3978952728,3.52929738429,4.22244456485,4.73327018862,4.22244456485,5.13873529672,5.13873529672,2.57378593926,4.73327018862,4.22244456485])",4
25,"If you're looking for work in #Austin, TX, check out this #job: https://t.co/ROriNxXpIE #Art #Hiring #CareerArc",0,"['if', ""you're"", 'looking', 'for', 'work', 'in', '#austin,', 'tx,', 'check', 'out', 'this', '#job:', 'https://t.co/rorinxxpie', '#art', '#hiring', '#careerarc']","['looking', 'work', '#austin,', 'tx,', 'check', '#job:', 'https://t.co/rorinxxpie', '#art', '#hiring', '#careerarc']","(1048576,[309997,364619,515512,546607,695983,820775,885348,958338,991355,1006010],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[309997,364619,515512,546607,695983,820775,885348,958338,991355,1006010],[3.43398720449,5.13873529672,4.44558811616,2.27653441579,2.36614657448,2.88744349812,4.44558811616,5.13873529672,3.12383227618,3.3469758275])",4
26,"If you're looking for work in #OklahomaCity, OK, check out this #job: https://t.co/Erl4qh2QYS #Warehouse #Hiring #CareerArc",0,"['if', ""you're"", 'looking', 'for', 'work', 'in', '#oklahomacity,', 'ok,', 'check', 'out', 'this', '#job:', 'https://t.co/erl4qh2qys', '#warehouse', '#hiring', '#careerarc']","['looking', 'work', '#oklahomacity,', 'ok,', 'check', '#job:', 'https://t.co/erl4qh2qys', '#warehouse', '#hiring', '#careerarc']","(1048576,[133185,309997,546607,695983,725420,729696,820775,991355,1006010,1007614],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[133185,309997,546607,695983,725420,729696,820775,991355,1006010,1007614],[5.13873529672,3.43398720449,2.27653441579,2.36614657448,5.13873529672,4.73327018862,2.88744349812,3.12383227618,3.3469758275,5.13873529672])",4
27,"Can you recommend anyone for this #job in #Eagan, MN? https://t.co/uLIFpVpwMk #Sales #Hiring #CareerArc",0,"['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job', 'in', '#eagan,', 'mn?', 'https://t.co/ulifpvpwmk', '#sales', '#hiring', '#careerarc']","['recommend', 'anyone', '#job', '#eagan,', 'mn?', 'https://t.co/ulifpvpwmk', '#sales', '#hiring', '#careerarc']","(1048576,[122254,129613,138193,144435,180009,546607,695983,787357,993918],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,129613,138193,144435,180009,546607,695983,787357,993918],[2.3978952728,3.63465789995,3.52929738429,5.13873529672,5.13873529672,2.27653441579,2.36614657448,5.13873529672,4.44558811616])",4
28,Market day,0,"['market', 'day']","['market', 'day']","(1048576,[694986,800389],[1.0,1.0])","(1048576,[694986,800389],[5.13873529672,3.52929738429])",4
29,"Join the CoreCivic team! See our latest #job opening here: https://t.co/sWc4Q7CBkU #corrections #Holdenville, OK #Hiring #CareerArc",0,"['join', 'the', 'corecivic', 'team!', 'see', 'our', 'latest', '#job', 'opening', 'here:', 'https://t.co/swc4q7cbku', '#corrections', '#holdenville,', 'ok', '#hiring', '#careerarc']","['join', 'corecivic', 'team!', 'see', 'latest', '#job', 'opening', 'here:', 'https://t.co/swc4q7cbku', '#corrections', '#holdenville,', 'ok', '#hiring', '#careerarc']","(1048576,[78474,122254,122516,215995,351275,366731,434352,546607,643374,695983,770186,932492,979092,1021672],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[78474,122254,122516,215995,351275,366731,434352,546607,643374,695983,770186,932492,979092,1021672],[3.19282514767,2.3978952728,3.88597232823,2.83615020373,5.13873529672,3.3469758275,3.52929738429,2.27653441579,5.13873529672,2.36614657448,2.88744349812,5.13873529672,5.13873529672,3.43398720449])",4
30,We're #hiring! Read about our latest #job opening here: Emergency Medicine Physician - Locum Tenens -… https://t.co/gfhimo3vUS,0,"[""we're"", '#hiring!', 'read', 'about', 'our', 'latest', '#job', 'opening', 'here:', 'emergency', 'medicine', 'physician', '-', 'locum', 'tenens', '-…', 'https://t.co/gfhimo3vus']","['#hiring!', 'read', 'latest', '#job', 'opening', 'here:', 'emergency', 'medicine', 'physician', '-', 'locum', 'tenens', '-…', 'https://t.co/gfhimo3vus']","(1048576,[78474,122254,315714,366731,394913,540233,569819,686299,715459,770186,829573,856842,943145,980975],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[78474,122254,315714,366731,394913,540233,569819,686299,715459,770186,829573,856842,943145,980975],[3.19282514767,2.3978952728,4.22244456485,3.3469758275,5.13873529672,3.88597232823,2.57378593926,5.13873529672,5.13873529672,2.88744349812,5.13873529672,4.22244456485,5.13873529672,5.13873529672])",4
31,"Join the Guitar Center team! See our latest #job opening here: https://t.co/q0pttSnQTm #CustomerService #Shreveport, LA #Hiring #CareerArc",0,"['join', 'the', 'guitar', 'center', 'team!', 'see', 'our', 'latest', '#job', 'opening', 'here:', 'https://t.co/q0pttsnqtm', '#customerservice', '#shreveport,', 'la', '#hiring', '#careerarc']","['join', 'guitar', 'center', 'team!', 'see', 'latest', '#job', 'opening', 'here:', 'https://t.co/q0pttsnqtm', '#customerservice', '#shreveport,', 'la', '#hiring', '#careerarc']","(1048576,[18887,55397,78474,122254,215995,335531,346877,366731,434352,546607,695983,770186,846161,957740,1021672],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[18887,55397,78474,122254,215995,335531,346877,366731,434352,546607,695983,770186,846161,957740,1021672],[5.13873529672,5.13873529672,3.19282514767,2.3978952728,2.83615020373,5.13873529672,5.13873529672,3.3469758275,3.52929738429,2.27653441579,2.36614657448,2.88744349812,4.44558811616,4.73327018862,3.43398720449])",4
