,_1,_2,_3,_4
283,"Working Holiday Visa Canada - Holiday, Study &amp; Get Paid ","(262144,[10589,31313,45531,51818,80649,90362,99895,101728,102824,213022],[0.0,6.1830236095,2.64338267721,4.09228251256,6.50147734062,0.0,3.36598312469,2.59950467104,5.44542466637,3.0240908206])","[0.219579228378,0.0964289933766,0.0989363612767,0.154395112,0.0912314012915,0.0961182013551,0.0875700914112,0.155740610911]",0
289,"Go North, Young Coder: How Canada's Tech Scene May Benefit From Trump's Election ","(262144,[51228,92822,123725,140586,172477,195155,197436,206738,217316,229727,234280],[5.40286505195,0.0,6.50147734062,4.43778415591,4.07005937578,5.53639644457,0.0,4.8197187666,6.63500873324,0.0,6.78915941307])","[0.230195432612,0.0915420546278,0.219546177517,0.139189643179,0.099922448534,0.071958247319,0.0759849925127,0.0716610036986]",0
301,"Thanks to Turdo, Trump no longer needs wall between Mexico","(262144,[7612,38308,115892,122956,138730,221790,239122],[5.87286868119,6.78915941307,6.78915941307,0.0,6.50147734062,4.4065316124,5.28508201629])","[0.235587220923,0.0927185071454,0.0794049066836,0.187679250899,0.0810054302986,0.0801459873482,0.0981753940442,0.145283302658]",0
302,The Canada immigration consultant in Hyderabad will process everything faster! ,"(262144,[30110,79737,101728,108495,111304,156402,161862],[6.50147734062,5.87286868119,2.59950467104,0.0,2.67012223826,0.0,5.40286505195])","[0.187695841955,0.115666200085,0.135551790384,0.0932954844263,0.172855030241,0.0969600952075,0.10154584283,0.096429714872]",0
306,@can_immigrant ,"(262144,[44478],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
316,#Best #Canada #Immigration #Consultant #in #Hyderabad,"(262144,[31754,32525,84494,117922,186041,259102],[0.0,4.52047587175,0.0,4.45378449725,6.63500873324,0.0])","[0.197486697666,0.104497153357,0.103416508968,0.105401575391,0.105110328908,0.174143930717,0.099522792558,0.110421012435]",0
318,`,"(262144,[4807],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
321,~costs will outweigh #benefits,"(262144,[55972,59496,224940],[0.0,0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
322,#CDNpoli ,"(262144,[210807],[6.09601223251])","[0.164568502713,0.113662000327,0.113464270896,0.113511869896,0.149465186962,0.113561240924,0.11804132565,0.113725602633]",0
330,With Donal ,"(262144,[121147],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
335,canada_immigration_bangalore #flickr ,"(262144,[166161,237429],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
340,Premier @rachelnotley??_ ,"(262144,[8053,79209],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
368,"Canada detains hundreds of children for immigration violations, report finds ","(262144,[4596,6446,30905,60294,101728,111304,118762,218825],[6.63500873324,0.0,6.38369430496,5.1151829795,2.59950467104,2.67012223826,0.0,6.50147734062])","[0.31998534091,0.0965725747644,0.0886761485872,0.0837941230136,0.151518642417,0.0876850126669,0.0837569800323,0.0880111776092]",0
402,#Canada:  Muslim Imam admits refugee resettlement is caliphate-building! ,"(262144,[16384,50212,91606,122285,210382,225739,239254,249180],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33481211682])","[0.12857975764,0.122775305395,0.122799241658,0.124052602314,0.125404002619,0.125748216079,0.126558043157,0.124082831138]",0
404,"Canada Immigration Website Traffic Surges And Crashes In Wake Of Trump #fasttraffic,#sitetraffic,#website,#traffic ","(262144,[7612,29543,59177,83101,101728,111304,114769,152028,230168],[5.87286868119,0.0,5.17972150063,0.0,2.59950467104,2.67012223826,6.50147734062,5.40286505195,6.01596952484])","[0.284175427109,0.127321271707,0.108060650127,0.0812292501928,0.086825776248,0.147314060995,0.0816277844296,0.0834457791909]",0
425,&gt;ima move to canada before trump be...,"(262144,[7612,39631,101728,158068,159066],[5.87286868119,0.0,2.59950467104,0.0,5.53639644457])","[0.178585871845,0.122242136641,0.109309887002,0.116731814967,0.106076635078,0.156921149931,0.10236859721,0.107763907325]",0
428,@ServiceCanada_E @JusticeCanadaEN  ,"(262144,[152713,226019],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
429,"#Equality""","(262144,[114296],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
432,@MichelleRempel You must have #special #Doctors for #COSTOMERCARE !   @MSF_USA @UN Immigration Direct Customer Care ,"(262144,[5534,10377,28990,94509,101133,109230,111304,129700,142373,156638,184563,229407,249180],[0.0,0.0,5.36204305743,0.0,0.0,6.09601223251,2.67012223826,6.09601223251,6.1830236095,0.0,0.0,5.08441132083,4.66962423363])","[0.204708683044,0.0935464410536,0.0827625334884,0.0901268831562,0.107623693048,0.119855356295,0.166391635518,0.134984774397]",0
436,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"(262144,[29945,63856,111304,160033,165268,176299,179415,222234],[2.66471681969,6.38369430496,2.67012223826,6.01596952484,5.63647990313,6.38369430496,6.38369430496,5.87286868119])","[0.478456764351,0.0754162859689,0.0730302723657,0.0741283556736,0.0766715764921,0.0755634509785,0.0737967001486,0.0729365940219]",0
437,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"(262144,[29945,63856,111304,160033,165268,176299,179415,222234],[2.66471681969,6.38369430496,2.67012223826,6.01596952484,5.63647990313,6.38369430496,6.38369430496,5.87286868119])","[0.478454968696,0.0754166108626,0.0730302762355,0.0741285193811,0.0766725694713,0.0755636883151,0.073796770657,0.0729365963814]",0
440,MichelleRempel: ,"(262144,[68175],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
448,A total of three charges. Using and possessing a false passport. Lying to immigration so he could stay in Canada.,"(262144,[18737,53589,57400,73249,111304,136243,150794,153032,207577,219753,254027],[5.80833016006,0.0,5.08441132083,5.80833016006,2.67012223826,6.78915941307,5.21362305231,6.63500873324,0.0,6.78915941307,0.0])","[0.201469759244,0.0949923782423,0.0714524064317,0.130866529934,0.0833976023322,0.155483337642,0.0772284608,0.185109525373]",0
454,@AsmaZhk migrate to Canada. American crashed our immigration website,"(262144,[18656,59177,95627,111304,138836,150794,182392],[0.0,5.17972150063,0.0,2.67012223826,6.50147734062,5.21362305231,6.38369430496])","[0.253803196494,0.201458173777,0.0874526071998,0.0879187718678,0.0930517183336,0.0968337203797,0.0884567904346,0.0910250215142]",0
456," #canada""","(262144,[129449,249180],[0.0,2.33481211682])","[0.128580639883,0.122775287211,0.122799613281,0.124052068942,0.125405315609,0.125745816547,0.126557723789,0.124083534736]",0
466,Canada's Immigration Website Has Actually Crashed On Election Night ,"(262144,[59177,66092,111304,132975,182392,206738,217316],[5.17972150063,5.40286505195,2.67012223826,5.87286868119,6.38369430496,4.8197187666,6.63500873324])","[0.312328603011,0.103400746188,0.0780596728804,0.0770873886866,0.140993315212,0.0803614210666,0.0772628364567,0.1305060165]",0
470,"@vancityhotshots""","(262144,[39396],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
489,I will be watching Donald Trump in Indiana today_???as well as Ohio_??hoping his immigration policy will rub off on Cana??_ ,"(262144,[7612,20214,31542,63139,79832,81396,111304,170380,170798,186925,193681],[5.87286868119,0.0,6.09601223251,5.58518660874,0.0,0.0,2.67012223826,6.63500873324,0.0,5.21362305231,0.0])","[0.322507826582,0.0864927776988,0.115820516163,0.0835434375677,0.0893959719067,0.0933951656142,0.125822253274,0.0830220511937]",0
497,Donald Trump can take this healthcare advice.  Immigration killed healthcare in Canada it may be free at times but??_ ,"(262144,[7612,55639,89446,101728,110248,111304,140586,141522,170380,237761,249180,249514,256524],[5.87286868119,3.63215899192,0.0,2.59950467104,0.0,2.67012223826,4.43778415591,5.94186155268,6.63500873324,3.63927645969,2.33481211682,0.0,0.0])","[0.242057042718,0.181705358419,0.0951713648375,0.0832937196304,0.131567200573,0.085577728644,0.0974174350328,0.0832101501458]",0
509,Canada's immigration website just crashed ,"(262144,[59177,111304,182392,206738],[5.17972150063,2.67012223826,6.38369430496,4.8197187666])","[0.284908844631,0.130054501929,0.0954724604835,0.0952514283816,0.102897430805,0.100426171815,0.0954900363268,0.0954991256283]",0
529,_??_?__??_?_?_?__?_?_??_?_?_?? ,"(262144,[139590],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
535,Study In Canada:,"(262144,[31313,34460],[6.1830236095,6.01596952484])","[0.18786949033,0.113601690118,0.104387398921,0.103829917997,0.106591208877,0.169689197142,0.104033423652,0.109997672962]",0
578,Perfect! ,"(262144,[43041],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
588,@MotherJones please research and report how the immigration laws of Mexico and Canada before this agenda trash,"(262144,[10283,73870,101728,107741,111304,131631,138730,143720,218825,230921],[0.0,0.0,2.59950467104,0.0,2.67012223826,5.53639644457,6.50147734062,0.0,6.50147734062,4.94333272257])","[0.246289380631,0.113886204103,0.150563721748,0.0850657255765,0.092364335644,0.0920591092096,0.130156056017,0.0896154670702]",0
589,Move to Canada! Ottawa??s immigration website crashed as Donald Trump approached victory  #mortgage ,"(262144,[1731,7612,59177,78935,111304,151524,155722,159066,170380,182392,209252,249180],[0.0,5.87286868119,5.17972150063,0.0,2.67012223826,0.0,6.2783337893,5.53639644457,6.63500873324,6.38369430496,0.0,2.33481211682])","[0.34562686712,0.0809599091342,0.0749265597453,0.0836844477954,0.0803819500358,0.172184750645,0.0869464410328,0.0752890744921]",0
597,@Enchanting70 wrong. Wanting borders is standard practice and legal immigration for every country including Mexico and Canada.,"(262144,[44537,75563,84007,96702,111304,126208,138730,150794,152433,204984,214036,228586,255693],[0.0,0.0,0.0,6.63500873324,2.67012223826,5.36204305743,6.50147734062,5.21362305231,6.01596952484,0.0,0.0,6.38369430496,0.0])","[0.234460551789,0.101069387101,0.139223758273,0.145773228668,0.0801924552967,0.144390722992,0.0782557566502,0.0766341392293]",0
617,"""""""Key #Canada_Immigration Categories of #ExpressEntrySystem """" ","(262144,[29647,148621,164283,194144,208485],[0.0,0.0,0.0,0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
620,The Fastest Growing Most Preferred Student Destination CANADA.,"(262144,[5251,72667,80670,110387,150794,216420],[0.0,6.63500873324,0.0,0.0,5.21362305231,0.0])","[0.202036548327,0.154360726273,0.104428193042,0.104729374581,0.105466512402,0.112989065217,0.105841696237,0.110147883922]",0
621,GO And Study in #Canada.,"(262144,[31313,160033,172477],[6.1830236095,6.01596952484,4.07005937578])","[0.264720754168,0.0994487832618,0.125079046107,0.100539876199,0.101106941937,0.101344960389,0.109241579952,0.0985180579858]",0
622,#HCFS #immigration??_ ,"(262144,[84370,152015],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
624,Want to study in Australia and Canada.,"(262144,[31313,70954,150794,190256],[6.1830236095,6.63500873324,5.21362305231,4.29045944115])","[0.291936236815,0.121498976778,0.0989568057992,0.0959841749353,0.0949061675641,0.103596665933,0.0954813893155,0.0976395828605]",0
627,#Didyoumiss via @Fb_loaded Canada immigration website crashes as Donald Trump's votes rise ,"(262144,[13166,51228,54176,59177,76735,101728,111304,114769,122979,170380,240158],[0.0,5.40286505195,0.0,5.17972150063,0.0,2.59950467104,2.67012223826,6.50147734062,3.69056975408,6.63500873324,0.0])","[0.308995018863,0.0944488199487,0.170231321871,0.0821754268811,0.0873340956314,0.0867826653235,0.0815447171671,0.0884879343143]",0
632,#Canada overhauls it #immigration policy for enabling graduates to stay after study ,"(262144,[31313,31542,32525,51599,73249,117922,136812,163744],[6.1830236095,6.09601223251,4.52047587175,0.0,5.80833016006,4.45378449725,0.0,0.0])","[0.241218408209,0.0927452386846,0.0925345623109,0.101970023285,0.094229004823,0.153909683739,0.124893883092,0.0984991958551]",0
639,#Best #Canada #Immigration #Consultant #in #Hyderabad,"(262144,[31754,32525,84494,117922,186041,259102],[0.0,4.52047587175,0.0,4.45378449725,6.63500873324,0.0])","[0.197486258607,0.104496844806,0.103416263465,0.105401192131,0.105109914604,0.174146738158,0.0995227497859,0.110420038444]",0
641,UK's Brexit and the US's Trump could help Canada's Tech Industry. Read more..,"(262144,[724,7612,53570,150151,156511,165816,195155,206738,209959,239859],[0.0,5.87286868119,5.87286868119,0.0,0.0,0.0,5.53639644457,4.8197187666,0.0,5.24871437212])","[0.238881391873,0.112400505026,0.130316604244,0.0856791772818,0.0899735761889,0.163945991035,0.0927587738,0.0860439805513]",0
644,Canada is on top! Best immigration choice for oppressed elites. How Much Is a Professor Worth? ,"(262144,[4211,16467,54750,56433,76764,83984,101728,111304,166027,217481],[0.0,0.0,6.09601223251,0.0,4.79672924838,0.0,2.59950467104,2.67012223826,4.57358569706,0.0])","[0.23901343329,0.111874112314,0.101552677014,0.0972880458994,0.104273962968,0.100242087353,0.146718156425,0.0990375247377]",0
653,Canada??s immigration website has crashed ,"(262144,[34857,59177,111304,182392],[4.91735723617,5.17972150063,2.67012223826,6.38369430496])","[0.254919014848,0.0983661524701,0.0947530469004,0.0950115501893,0.164301270504,0.0991548648555,0.095138662605,0.0983554376268]",0
665,hi yes @canada i'd like to begin the immigration process to your country ,"(262144,[30110,49304,54083,111304,152433,180865,208258,226055],[6.50147734062,0.0,6.2783337893,2.67012223826,6.01596952484,0.0,3.49332254706,0.0])","[0.181984827421,0.0975466358766,0.173200409775,0.0894266598106,0.0969636003587,0.170170405606,0.101654535844,0.0890529253079]",0
669,"#ckssgeoimm""","(262144,[240884],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
671,"The left love to discuss Canada's health care, but never Canada's immigration policies.","(262144,[89278,111304,132710,133454,146227,170414,186480,206738,245806],[0.0,2.67012223826,0.0,6.50147734062,6.63500873324,5.48987642894,4.70971787139,9.63943753321,4.97000096965])","[0.219766815329,0.158366472362,0.115885567554,0.101124896249,0.0979543712347,0.0836085296523,0.0946120350565,0.128681312563]",0
674,New immigration rules make it easier for Americans to work and stay in Canada ,"(262144,[29945,34343,70418,73249,89717,101728,111304,141730,165268],[2.66471681969,5.14693167781,6.38369430496,5.80833016006,4.50338143839,2.59950467104,2.67012223826,6.63500873324,5.63647990313])","[0.285151183215,0.23883128174,0.0796314739891,0.0815907891194,0.0802498947844,0.0768542702535,0.0814422132566,0.0762488936424]",0
679,New immigration rules make it easier for Americans to work and stay in Canada ,"(262144,[29945,34343,70418,73249,89717,101728,111304,141730,165268],[2.66471681969,5.14693167781,6.38369430496,5.80833016006,4.50338143839,2.59950467104,2.67012223826,6.63500873324,5.63647990313])","[0.285158932657,0.238823126764,0.0796327281367,0.0815894330661,0.0802503588309,0.0768544037698,0.0814418960115,0.0762491207643]",0
680,???_???????_?_?_??????????_?????_?????_?_????_???_?_?????_?,"(262144,[230848],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
696,Adressez vous a Legite Qu?bec. ,"(262144,[36416,52737,159668,240185],[0.0,0.0,0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
703,My immigration process is a live example. _??,"(262144,[30110,33053,111304,117287,183290],[6.50147734062,5.24871437212,2.67012223826,0.0,0.0])","[0.204092389405,0.105532010715,0.101424979665,0.101545541828,0.145931091133,0.136652735182,0.103922752344,0.100898499729]",0
707,"@WilliamsRDan @ballj65 @mavs_bigot No, locking them up for an illegal act is legal. Both Canada and Mexico have Immigration laws too. Try it","(262144,[26684,32313,53777,101450,101728,111304,131631,133953,135313,138730,141407,151534,202613,228179],[0.0,0.0,6.01596952484,0.0,2.59950467104,2.67012223826,5.53639644457,0.0,0.0,6.50147734062,5.32282234428,0.0,6.1830236095,0.0])","[0.231695550899,0.147621631871,0.106001559417,0.0795411524136,0.108530500465,0.0877204495943,0.147466183175,0.0914229721646]",0
719,"@CanBorder, CBSA detains hundreds of children in immigration jails - this practice must stop! #cdnimm #cdnpoli ","(262144,[4596,26909,30905,45531,60294,72046,79365,111304,182029,204984,210807,229407,260955],[6.63500873324,0.0,6.38369430496,2.64338267721,5.1151829795,0.0,0.0,2.67012223826,0.0,0.0,6.09601223251,5.08441132083,5.87286868119])","[0.335634155644,0.0831913571867,0.0766632799941,0.07742486201,0.178649854371,0.0836056282171,0.0842938752934,0.0805369872838]",0
