,text,features,prediction
896,"At #SXSW presentation, @mention demonstrates how you can pause a video on new video player and pick up in same spot on iPad app. #tveverywhere","(1048576,[29945,128272,184856,338111,350249,366364,403052,452749,459855,479046,503244,586715,752271],[2.66471681969,1.38124053661,5.44542466637,6.97148096986,7.48230659363,5.94186155268,6.50147734062,7.19462452118,7.48230659363,10.8057301039,0.615026147212,7.48230659363,2.1085725878])",0
898,@mention Prob going to hit the temp Apple Store they are setting up near #SxSW...nice of Apple to do that: {link},"(1048576,[72702,111032,128272,269511,363990,412422,412681,462367,494611,494829,979380,1001169],[7.48230659363,5.53639644457,1.38124053661,2.53354670325,6.50147734062,6.01596952484,1.30643932352,4.49527850831,6.1830236095,4.18646972762,7.48230659363,6.01596952484])",0
899,@mention Probably be even more on the way back since Apple is opening a temp extra store just for #sxsw,"(1048576,[78474,111032,128272,269511,395608,411065,454281,461399,462367,503244,699254,918702],[4.68909858419,5.53639644457,1.38124053661,2.53354670325,6.1830236095,5.02557082081,5.80833016006,4.53786761446,2.24763925416,0.615026147212,4.77425639253,5.21362305231])",0
900,@mention Probably needed at #SXSW! See iPad line here: {link},"(1048576,[128272,215995,366731,411065,412681,555238,634366,752271,798428],[1.38124053661,3.77689783756,6.63500873324,5.02557082081,1.30643932352,4.86734681559,3.45102016737,2.1085725878,6.78915941307])",0
907,How to improve website rankings: Advice from Google &amp; Bing at #SXSW {link} via @mention,"(1048576,[128272,154186,310626,375536,385123,412681,503244,583465,737310,1039956,1040240],[1.38124053661,5.87286868119,6.09601223251,5.28508201629,3.69056975408,1.30643932352,0.615026147212,5.17972150063,3.0240908206,2.0086363396,6.1830236095])",0
909,#SXSW peeps - you can now checkin with @mention latitude to unlock deals! {link} built by @mention and team!,"(1048576,[101254,128272,286623,412681,434352,503244,510378,569819,776098,830331,949659],[7.48230659363,2.76248107321,7.48230659363,1.30643932352,7.48230659363,0.615026147212,6.01596952484,2.64338267721,6.1830236095,7.48230659363,6.1830236095])",0
922,Google Maps now has 150 million users on mobile #sxsw (via @mention,"(1048576,[128272,503244,517259,600598,710046,788084,1003510,1003639,1039956],[1.38124053661,0.615026147212,4.8197187666,6.1830236095,5.80833016006,4.18646972762,4.86734681559,4.13826762581,2.0086363396])",0
923,Google maps route around traffic is saving users 2 years of time every day @mention #sxsw,"(1048576,[128272,383661,388352,414172,503244,517259,581306,598761,602617,788084,800389,849833,998485,1039956],[1.38124053661,3.93652798316,5.36204305743,5.40286505195,0.615026147212,4.8197187666,5.40286505195,4.99739994384,4.47004501812,4.18646972762,4.31823900526,5.36204305743,2.8125978865,2.0086363396])",0
934,Agencies push Google in directions they never would have gone otherwise says Creative Lab Strategy Director @mention #SXSW,"(1048576,[13981,128272,142931,161826,304105,503244,698766,706784,716887,739884,761498,770094,935307,1039956],[7.19462452118,1.38124053661,6.1830236095,4.47004501812,6.63500873324,0.615026147212,6.78915941307,6.63500873324,7.48230659363,6.97148096986,6.97148096986,4.97000096965,7.48230659363,2.0086363396])",0
935,@mention putting a gun to @mention head. Give me your iPhone! #SXSW {link},"(1048576,[128272,369511,412681,450350,503244,807426,890756,904180],[2.76248107321,4.27685378909,1.30643932352,6.2783337893,0.615026147212,7.48230659363,6.63500873324,6.63500873324])",0
936,"@mention Putting an pop up apple store at #sxsw is so smart, talk about understanding your demo's needs!","(1048576,[128272,174771,269511,360363,450350,462367,503244,768860,858557,976749,998310],[1.38124053661,4.26343076876,2.53354670325,7.48230659363,6.2783337893,2.24763925416,0.615026147212,7.19462452118,4.70971787139,7.48230659363,7.48230659363])",0
937,OOPS!  copy/paste malfunction on the last tweet for @mention free #SXSW shuttle.  Correct link {link},"(1048576,[128272,330250,412681,435992,501250,503244,529669,584117,695780,762049,838822,1035612,1045027],[1.38124053661,6.2783337893,1.30643932352,7.48230659363,7.19462452118,0.615026147212,4.39126414027,7.48230659363,7.48230659363,3.63927645969,7.48230659363,4.66962423363,5.53639644457])",0
942,@mention Question of the day: Is &quot;Google Circles&quot; the newest social network on the horizon? #SXSW,"(1048576,[118731,128272,147937,215949,382874,383891,467075,503244,766252,897330],[7.48230659363,1.38124053661,6.97148096986,3.39353307646,3.94618989407,6.63500873324,6.2783337893,0.615026147212,5.74770553824,6.97148096986])",0
944,Ipad 2 acquired thanks to @mention perserverance. 1 vote for husband of the year. Check #sxsw,"(1048576,[128272,312062,336591,503244,542698,639608,746078,752271,760520,899825,998485,1006010],[1.38124053661,7.19462452118,6.1830236095,0.615026147212,6.97148096986,7.48230659363,4.4065316124,2.1085725878,4.91735723617,6.97148096986,2.8125978865,4.55556719156])",0
947,"#Google &quot;product gatekeeper&quot; Marissa Mayer on the location-based &quot;fast, fun &amp; future&quot; {link} (HT @mention #SXSW @mention #lbs","(1048576,[128272,341465,412681,462001,489042,503244,597513,646839,683009,707054,737310,754998,794875,822181,899852],[2.76248107321,6.97148096986,1.30643932352,4.68909858419,7.48230659363,0.615026147212,6.97148096986,3.87138868098,6.1830236095,6.97148096986,3.0240908206,6.97148096986,5.94186155268,4.57358569706,6.97148096986])",0
951,"Get it for #sxsw , folks. It's #prettycool #chevysxsw RT @mention Update for iPhone Retrollect users is available. Now with more awesome!","(1048576,[10951,56559,79207,94684,128272,248305,362039,503244,517259,853921,868061,879965,884976,997427],[6.50147734062,2.75491877492,7.48230659363,6.97148096986,1.38124053661,2.7003858959,3.36598312469,0.615026147212,4.8197187666,5.53639644457,7.48230659363,7.19462452118,7.48230659363,5.53639644457])",0
956,Questioner at #sxsw just said &quot;Thanks and I'm a big fan&quot; to Google's @mention which caused her to giggle and audience to laugh.,"(1048576,[128272,152734,168976,212560,287158,292150,377990,427355,503244,644045,876302,883594],[1.38124053661,7.48230659363,5.58518660874,6.01596952484,7.48230659363,4.47004501812,7.48230659363,7.48230659363,0.615026147212,7.48230659363,4.3468123777,7.48230659363])",0
961,Our sister co. @mention new #iPad app reviewed @mention {link} Are curated playlists the future of #music pubs? #sxsw,"(1048576,[29945,128272,232359,258647,295451,300416,316085,391766,412681,464390,503244,908271,914715,944857],[2.66471681969,2.76248107321,3.85353106358,5.1151829795,7.48230659363,7.48230659363,7.48230659363,3.21028085417,1.30643932352,6.01596952484,0.615026147212,6.97148096986,7.48230659363,7.48230659363])",0
963,Watch your ears! RT @mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW,"(1048576,[29945,55397,56559,128272,248305,406038,432171,437943,503244,518048,564662,570812,950121,1039291,1040706],[2.66471681969,5.32282234428,2.75491877492,2.76248107321,2.7003858959,3.40476914972,6.97148096986,4.30425276328,0.615026147212,5.87286868119,6.1830236095,5.36204305743,5.63647990313,3.04752939357,5.40286505195])",0
966,Soundtrckr featured by @mention @mention as a Must-have for #SXSW {link},"(1048576,[128272,280180,283579,328774,412681,503244],[2.76248107321,6.63500873324,7.48230659363,5.53639644457,1.30643932352,0.615026147212])",0
988,wow! major win for you! ???@mention traded the Xoom I won at the JS party for the iPad 2 @mention won #sxsw #winwin #winning #tigerblood??,"(1048576,[123991,128272,250455,282810,283142,308649,426190,479374,485289,490924,503244,557812,676453,692395,752271,886714,998485],[7.48230659363,1.38124053661,7.48230659363,7.48230659363,11.4954110765,4.61062696874,6.1830236095,6.01596952484,7.48230659363,4.30425276328,0.615026147212,3.85353106358,5.44542466637,7.48230659363,2.1085725878,6.97148096986,2.8125978865])",0
990," Carroll ??? crowd swarms for iPad 2 launch {link} via @mention #SXSW""","(1048576,[71322,102257,128272,385123,412681,657543,752271,876568,990832,998485,1018010,1035612],[4.84324926401,3.46292506988,1.38124053661,3.69056975408,1.30643932352,5.87286868119,2.1085725878,7.48230659363,5.53639644457,2.8125978865,5.87286868119,2.33481211682])",0
995,21 free tracks on iTunes from #SXSW featured artists: {link} (via @mention,"(1048576,[61614,97894,128272,328774,412681,448903,503244,548825,762049,1003510],[7.48230659363,5.63647990313,1.38124053661,5.53639644457,1.30643932352,6.63500873324,0.615026147212,7.19462452118,3.63927645969,4.86734681559])",0
997,"SXSW Interactive: Google??s Mobile Future, &amp; Elusive ???Power of Here?? - @mention @mention - #sxsw #google #mobile - {link}","(1048576,[128272,271673,283903,356407,412681,466543,503244,512362,569819,646839,737310,772967,784375,787165,1003639],[2.76248107321,3.8187449475,7.48230659363,7.48230659363,1.30643932352,7.48230659363,0.615026147212,7.48230659363,7.93014803164,3.87138868098,3.0240908206,7.48230659363,6.38369430496,7.48230659363,4.13826762581])",0
999,@mention Rainey Street is a nice alternative to 6th street #sxsw parties. Walking directions from convention center {link},"(1048576,[37077,55397,128272,304105,364534,401941,412681,503244,559124,570812,696432,808778,1047255],[7.48230659363,5.32282234428,1.38124053661,6.63500873324,5.6905471244,7.48230659363,1.30643932352,0.615026147212,5.21362305231,5.36204305743,6.97148096986,5.48987642894,10.1688226417])",0
1004,"Google Circles - is this real or fake, contradicting blog post and statements from Chris Messina at #SXSW {link} via @mention","(1048576,[37735,128272,174475,385123,412681,478576,480053,486802,503244,545073,569819,637595,835488,959365,1039956],[7.48230659363,1.38124053661,5.53639644457,3.69056975408,1.30643932352,6.38369430496,6.63500873324,7.48230659363,0.615026147212,5.74770553824,2.64338267721,7.48230659363,4.11501076364,6.1830236095,2.0086363396])",0
1013,Google Circles NOT being launched @mention #SXSW Interactive today {link} #bummer,"(1048576,[128272,316926,386488,406038,412681,503244,835488,957783,1039956],[1.38124053661,7.48230659363,6.01596952484,3.40476914972,1.30643932352,0.615026147212,4.11501076364,5.94186155268,2.0086363396])",0
1018,Google Circles will be 'Boolean' (?) #sxsw @mention,"(1048576,[128272,286205,400687,503244,835488,1039956],[1.38124053661,7.48230659363,7.48230659363,0.615026147212,4.11501076364,2.0086363396])",0
1019,Google Circles will be [a true competitor in the social realm?] [cc: @mention #sxsw,"(1048576,[80348,128272,186449,215949,250429,503244,750194,778580,835488,1039956],[7.48230659363,1.38124053661,7.48230659363,3.39353307646,7.48230659363,0.615026147212,7.48230659363,5.6905471244,4.11501076364,2.0086363396])",0
1024,"Google Circles, if as described another good move as a product but too late?{link} #sxsw (via @mention","(1048576,[128272,159066,195796,455491,503244,574779,867440,892216,899864,1003510,1039956],[1.38124053661,5.53639644457,7.48230659363,4.86734681559,0.615026147212,7.48230659363,5.58518660874,4.50338143839,4.13826762581,4.86734681559,2.0086363396])",0
1029,Google Circles.. 10x for sharing ???@mention RT @mention Google to Launch Major New Social Network {link} #sxsw??,"(1048576,[29945,102257,128272,215949,248305,259867,308649,321969,382874,412681,676453,856492,888368,1039956],[2.66471681969,3.46292506988,1.38124053661,3.39353307646,2.7003858959,6.50147734062,4.61062696874,7.48230659363,3.94618989407,1.30643932352,5.44542466637,7.48230659363,5.63647990313,4.01727267921])",0
1032,"Google Circles' Looms, But do Google's Nerds 'Get' Social? #SxSW | @mention {link}","(1048576,[128272,412681,503244,724607,740721,744534,785399,876302,889814,930669,1039956],[1.38124053661,1.30643932352,0.615026147212,5.63647990313,6.01596952484,6.01596952484,5.53639644457,4.3468123777,4.68909858419,6.01596952484,2.0086363396])",0
1033,"Google Circles' Looms, But Do Google's Nerds 'Get' Social? #SxSW | @mention {link}","(1048576,[128272,412681,503244,724607,740721,744534,785399,876302,889814,930669,1039956],[1.38124053661,1.30643932352,0.615026147212,5.63647990313,6.01596952484,6.01596952484,5.53639644457,4.3468123777,4.68909858419,6.01596952484,2.0086363396])",0
1034,"Google Circles' Looms, But do Google's Nerds 'Get' Social? #SxSW | @mention {link} via @mention","(1048576,[128272,385123,412681,503244,724607,740721,744534,785399,876302,889814,930669,1039956],[2.76248107321,3.69056975408,1.30643932352,0.615026147212,5.63647990313,6.01596952484,6.01596952484,5.53639644457,4.3468123777,4.68909858419,6.01596952484,2.0086363396])",0
1035,"Google Circles' Looms, But Do Google's Nerds 'Get' Social? #SxSW | @mention {link} via @mention","(1048576,[128272,385123,412681,503244,724607,740721,744534,785399,876302,889814,930669,1039956],[2.76248107321,3.69056975408,1.30643932352,0.615026147212,5.63647990313,6.01596952484,6.01596952484,5.53639644457,4.3468123777,4.68909858419,6.01596952484,2.0086363396])",0
1037,Credit Card companies know 2 years before you do that you're likely to get a divorce @mention (Google) #sxsw #urbanmyth,"(1048576,[1184,35221,128272,340772,362039,498277,503244,598761,696301,771830,927363,998485,1018816],[7.48230659363,6.09601223251,1.38124053661,7.48230659363,3.36598312469,6.97148096986,0.615026147212,4.99739994384,6.97148096986,7.48230659363,4.19889224762,2.8125978865,6.1830236095])",0
1038,No biz cards! Bump on iphone or google me RT @mention #SXSW is when I basically become automatic business card dispenser for a week,"(1048576,[6632,56559,128272,206037,248305,354262,459090,503244,549935,641070,894604,918721,991360,1018816,1039956],[7.48230659363,2.75491877492,1.38124053661,6.78915941307,2.7003858959,6.78915941307,5.44542466637,0.615026147212,7.48230659363,5.63647990313,7.48230659363,6.63500873324,7.48230659363,6.1830236095,2.0086363396])",0
1044,&quot;We're about to pass you up Opera.&quot; -@mention (Google) to @mention (Opera Dev Rel.) #sxsw #zing,"(1048576,[208,128272,144116,446424,463358,490079,503244,506873,696301,720347,1022452],[7.48230659363,1.38124053661,6.97148096986,6.63500873324,7.48230659363,5.74770553824,0.615026147212,7.48230659363,6.97148096986,6.97148096986,7.48230659363])",0
1045,#foursquare and @mention now sees #google as their competition not just location-based or game apps. #SXSW #checkins,"(1048576,[128272,416239,503244,646839,683009,704057,792626,881870,894885,925327],[1.38124053661,6.1830236095,0.615026147212,3.87138868098,6.1830236095,6.97148096986,7.48230659363,6.97148096986,7.19462452118,4.8197187666])",0
1049,"Apple store coming 2 Austin for SXSW.   RT: &quot;@mention Before It Even Begins, Apple Wins #SXSW {link} on @mention","(1048576,[128272,149264,214378,245267,269511,335510,412681,462367,503244,609183,699254,770387,998485,1035612,1039291],[1.38124053661,6.97148096986,6.38369430496,5.6905471244,2.53354670325,4.43778415591,1.30643932352,4.49527850831,0.615026147212,5.87286868119,4.77425639253,7.48230659363,2.8125978865,4.66962423363,3.04752939357])",0
1052,@mention re do not track. What are yr thoughts on Google's incognito browsing? #sxsw #payingwithdata,"(1048576,[41661,128272,172938,503244,597842,700376,848857,876302,911142,1006943],[7.48230659363,1.38124053661,7.48230659363,0.615026147212,7.48230659363,7.48230659363,6.2783337893,4.3468123777,6.63500873324,7.48230659363])",0
1056,Apple Store gets another mention: {link} - RT @mention #SxSW - Downtown Austin Apple Store: Congress &amp; West 6th Street...,"(1048576,[61737,128272,248305,269511,412681,455491,462367,489400,503244,559124,569819,581858,644642,728541,737310,914023,945896,1039291],[6.97148096986,1.38124053661,2.7003858959,2.53354670325,1.30643932352,4.86734681559,4.49527850831,5.74770553824,0.615026147212,5.21362305231,5.28676535443,7.48230659363,7.48230659363,7.48230659363,3.0240908206,4.43778415591,5.44542466637,3.04752939357])",0
1057,Temperature going up :) RT @mention @mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},"(1048576,[128272,248305,403380,412681,494829,503244,646839,737310,794875,970969,1009424,1035612],[5.52496214642,2.7003858959,7.48230659363,1.30643932352,4.18646972762,0.615026147212,3.87138868098,3.0240908206,5.94186155268,7.48230659363,4.43778415591,4.66962423363])",0
1063,Apple Store is buzzing: {link} - RT @mention Speaking of #sxsw: how about that #apple store on 6th and congress? Would...,"(1048576,[12442,128272,134450,248305,269511,412681,462367,559124,569819,698391,813988,847873,963502],[4.57358569706,1.38124053661,7.48230659363,2.7003858959,5.0670934065,1.30643932352,2.24763925416,5.21362305231,2.64338267721,7.48230659363,7.19462452118,3.87138868098,7.48230659363])",0
1069,Yes we were RT @mention Apple store downtown Austin open til Midnight. #sxsw,"(1048576,[128272,236182,248305,269511,316227,462367,503244,693815,914023,1018048,1039291],[1.38124053661,6.01596952484,2.7003858959,2.53354670325,6.2783337893,2.24763925416,0.615026147212,4.22421005561,4.43778415591,6.38369430496,3.04752939357])",0
1070,"W/ the core week of data still to come, @mention searches for #SXSW are up +23% vs. '10. (Source: Trends) #measure   {link}","(1048576,[8907,87322,112714,128272,190060,412681,437943,459090,465660,470931,503244,560488,685023,789165,799053,872697,1035612],[7.48230659363,7.48230659363,7.48230659363,1.38124053661,7.48230659363,1.30643932352,4.30425276328,5.44542466637,5.63647990313,6.97148096986,0.615026147212,4.45378449725,5.44542466637,6.78915941307,7.48230659363,7.48230659363,4.66962423363])",0
1071,Can I share what a great time I has tonight at the @mention privacy it's 1986 party.   Great job Brian R.  #sxsw,"(1048576,[89611,93917,128272,138356,157116,196440,291511,383661,441270,499481,503244,981862,1035612],[5.74770553824,5.28508201629,1.38124053661,8.03314138166,6.63500873324,6.97148096986,6.38369430496,3.93652798316,7.48230659363,5.80833016006,0.615026147212,6.38369430496,7.00443635045])",0
1073,"@mention re:new features of google maps,ex:ability to see inside amazing museums and be able to zoom to the brushstroke #SXSW #LoveHer","(1048576,[98155,101464,128272,215995,243643,359574,406192,466837,503244,517060,540714,629351,1005782,1039956],[7.48230659363,5.53639644457,1.38124053661,3.77689783756,6.38369430496,6.97148096986,7.48230659363,7.48230659363,0.615026147212,7.48230659363,5.74770553824,6.09601223251,7.48230659363,2.0086363396])",0
1074,"I was there. It was nuts. RT @mention iPad 2 in hand, awesome dude gave me cutsies on a 3 hour line. #austin #apple #sxsw #winning","(1048576,[10205,128272,136813,191977,223829,248305,344639,351218,393438,479374,503244,622719,642596,697902,752271,757790,847873,998485],[6.01596952484,1.38124053661,6.97148096986,7.48230659363,6.01596952484,2.7003858959,5.44542466637,5.32282234428,5.02557082081,6.01596952484,0.615026147212,5.36204305743,5.94186155268,7.19462452118,2.1085725878,5.74770553824,3.87138868098,2.8125978865])",0
1082,@mention really disappointed with the iPad app - lots of error messages have to switch to tweet deck for the rest of #sxsw,"(1048576,[14,23769,103917,128272,266068,295931,385089,391766,420246,456010,503244,569819,752271,1045027],[4.37622626291,7.48230659363,6.78915941307,1.38124053661,6.97148096986,6.78915941307,6.63500873324,3.21028085417,7.19462452118,5.6905471244,0.615026147212,2.64338267721,2.1085725878,5.53639644457])",0
1083,@mention Reason 19: Keep Parakeets employed! {link} Keep track of where the ladies are at #SXSW {link},"(1048576,[32957,87052,128272,161568,412681,439729,503244,514047,557178,780452],[5.63647990313,6.2783337893,1.38124053661,7.48230659363,2.61287864705,7.48230659363,0.615026147212,7.48230659363,10.3594430013,7.48230659363])",0
1085,"Another great panel at 5 pm at the Hilton - Austin's own @mention Nik Daftary:  Left Brain Search = Google, Right Brain Search = X #sxsw","(1048576,[118590,128272,138356,154822,338761,400162,432558,453641,455491,503244,567041,569819,589555,685204,838701,863089,876121,903378,1020780,1035612],[4.36141117712,1.38124053661,4.01657069083,5.63647990313,12.5566675786,6.38369430496,5.48987642894,7.48230659363,4.86734681559,0.615026147212,7.48230659363,2.64338267721,6.63500873324,5.94186155268,4.77425639253,6.38369430496,4.89203942818,10.230365959,10.5701640326,2.33481211682])",0
1089,Just met Rebecca Moore fr google @mention - amazing #womenintech come see her room6ab Austin conf ctr #sxswi #sxsw,"(1048576,[83693,96883,128272,215995,322985,466524,503244,540714,569819,590060,678645,684909,727063,887621,997102,1039291,1039956],[6.38369430496,6.63500873324,1.38124053661,3.77689783756,7.48230659363,4.64909324957,0.615026147212,5.74770553824,2.64338267721,7.48230659363,7.48230659363,7.48230659363,7.48230659363,4.1620782745,7.48230659363,3.04752939357,2.0086363396])",0
1091,@mention recounts the batshit insanity doubling as &quot;creativity&quot; that ensures they &quot;don't suck&quot;. Google 'michaels room groupon' #sxsw,"(1048576,[31936,128272,276887,282370,426830,503244,551549,697761,779569,841901,905624,946477,1039956,1041475],[7.48230659363,1.38124053661,7.48230659363,7.48230659363,5.53639644457,0.615026147212,7.48230659363,7.48230659363,7.48230659363,7.48230659363,7.48230659363,6.97148096986,2.0086363396,7.48230659363])",0
1093,Score a free imo tshirt outside the SXSW Apple store today at 2:15 PM &amp; check out imo's app for the iPad 2  {link}  #sxsw #ipad2,"(1048576,[10450,66170,160152,269511,271673,308197,347863,386213,391766,406038,412681,462367,503244,685204,737310,752271,762049,896353,998485,1006010,1035612],[5.6905471244,6.97148096986,6.63500873324,2.53354670325,3.8187449475,6.97148096986,6.50147734062,6.97148096986,3.21028085417,3.40476914972,1.30643932352,2.24763925416,0.615026147212,5.94186155268,3.0240908206,2.1085725878,3.63927645969,3.96579836546,2.8125978865,4.55556719156,4.66962423363])",0
1094,Score a free imo tshirt outside the SXSW Apple store today at 2:15 PM &amp; check out imo's app for the iPad 2  {link} #sxsw #ipad2,"(1048576,[10450,66170,160152,269511,271673,308197,347863,386213,391766,406038,412681,462367,503244,685204,737310,752271,762049,896353,998485,1006010,1035612],[5.6905471244,6.97148096986,6.63500873324,2.53354670325,3.8187449475,6.97148096986,6.50147734062,6.97148096986,3.21028085417,3.40476914972,1.30643932352,2.24763925416,0.615026147212,5.94186155268,3.0240908206,2.1085725878,3.63927645969,3.96579836546,2.8125978865,4.55556719156,2.33481211682])",0
1096,Google street car at #SXSW.   @mention Brush Square Park {link},"(1048576,[128272,315250,333970,412681,469063,672633,754060,1035612,1039956,1047255],[1.38124053661,7.48230659363,6.78915941307,1.30643932352,7.48230659363,3.40476914972,5.74770553824,4.66962423363,2.0086363396,5.08441132083])",0
1100,#Google Preparing To Launch #SocialMedia ???Circles?? at #sxsw ??? Or Maybe Not {link} via @mention,"(1048576,[71322,102257,128272,348284,385123,412681,437287,503244,568755,646839,791645],[4.84324926401,3.46292506988,1.38124053661,6.1830236095,3.69056975408,1.30643932352,5.58518660874,0.615026147212,7.48230659363,3.87138868098,7.48230659363])",0
1101,@mention reporting the #SXSW Apple Store for TWIT. #Sonoma  {link},"(1048576,[128272,269511,412681,462367,488728,503244,772523,1035612,1038704],[1.38124053661,2.53354670325,1.30643932352,2.24763925416,7.48230659363,0.615026147212,7.48230659363,2.33481211682,6.97148096986])",0
1106,@mention Respectfully disagree about the iphone. Battery life is a problem and it isn't as ubiquitous as it seems. #project314 #sxsw,"(1048576,[92547,93604,128272,172517,372177,435973,503244,588173,613824,657072,722560],[7.48230659363,5.08441132083,1.38124053661,5.14693167781,6.97148096986,4.53786761446,0.615026147212,6.78915941307,7.48230659363,7.19462452118,7.48230659363])",0
1107,"Very Interesting --&gt;&gt; RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw","(1048576,[29945,70933,102257,128272,178534,215949,248305,252717,308649,382874,406038,412681,503244,892216,892650,1039956],[2.66471681969,7.48230659363,3.46292506988,1.38124053661,4.17419963503,3.39353307646,2.7003858959,5.63647990313,4.61062696874,3.94618989407,3.40476914972,1.30643932352,0.615026147212,4.50338143839,4.89203942818,2.0086363396])",0
1109,Very interesting. RT @mention Apple to Open Pop-Up Shop at SXSW {link} #sxsw #sxswi #popupshop #apple,"(1048576,[95364,128272,248305,271673,319179,412681,462367,503244,589341,693815,733899,847873,887621],[7.48230659363,1.38124053661,2.7003858959,3.8187449475,3.94618989407,1.30643932352,2.24763925416,0.615026147212,6.97148096986,4.22421005561,4.8197187666,3.87138868098,4.1620782745])",0
1115,Google (tries again) to launch a new social network called Circles: {link} #sxsw @mention #310409H2011,"(1048576,[29945,102257,128272,178534,178625,215949,382874,412681,503244,631504,644740,985574,1039956],[2.66471681969,3.46292506988,1.38124053661,4.17419963503,6.63500873324,3.39353307646,3.94618989407,1.30643932352,0.615026147212,6.63500873324,7.48230659363,6.63500873324,2.0086363396])",0
