,text,label,location,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
10,"Episode 108 of Pop Culture Confidential, my extra special interview with TV legend Henry Winkler! And he could not… https://t.co/Pla2OVCkkj",0,"[-118.243, 34.0522]","['episode', '108', 'of', 'pop', 'culture', 'confidential,', 'my', 'extra', 'special', 'interview', 'with', 'tv', 'legend', 'henry', 'winkler!', 'and', 'he', 'could', 'not…', 'https://t.co/pla2ovckkj']","['episode', '108', 'pop', 'culture', 'confidential,', 'extra', 'special', 'interview', 'tv', 'legend', 'henry', 'winkler!', 'not…', 'https://t.co/pla2ovckkj']","(1048576,[64826,68545,159281,174771,388914,395608,411651,414497,490917,629956,647086,713624,718211,798488],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[64826,68545,159281,174771,388914,395608,411651,414497,490917,629956,647086,713624,718211,798488],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
11,Cleared: Incident on #GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,0,"[-73.9659, 40.854148]","['cleared:', 'incident', 'on', '#georgewashingtonbridge', 'eb', 'at', 'new', 'jersey', 'side/upper', 'level', 'toll', 'plaza']","['cleared:', 'incident', '#georgewashingtonbridge', 'eb', 'new', 'jersey', 'side/upper', 'level', 'toll', 'plaza']","(1048576,[29945,185063,199906,534204,552565,781036,915299,935922,1008469,1015895],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[29945,185063,199906,534204,552565,781036,915299,935922,1008469,1015895],[3.20882548901,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957])",6
12,? RT @chelzwho: @Quisaveli Gimme a dollar lol Big money,0,"[-114.241108, 33.657314]","['?', 'rt', '@chelzwho:', '@quisaveli', 'gimme', 'a', 'dollar', 'lol', 'big', 'money']","['?', 'rt', '@chelzwho:', '@quisaveli', 'gimme', 'dollar', 'lol', 'big', 'money']","(1048576,[64577,236986,248305,257120,292150,294094,620033,894365,1021928],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[64577,236986,248305,257120,292150,294094,620033,894365,1021928],[3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
13,Exploring #highfalls on our first little trip away with the babe this weekend jessicafrasz #wakkawakkawalker @ High… https://t.co/ZMg9qPm2p6,0,"[-74.1222, 41.8269]","['exploring', '#highfalls', 'on', 'our', 'first', 'little', 'trip', 'away', 'with', 'the', 'babe', 'this', 'weekend', 'jessicafrasz', '#wakkawakkawalker', '@', 'high…', 'https://t.co/zmg9qpm2p6']","['exploring', '#highfalls', 'first', 'little', 'trip', 'away', 'babe', 'weekend', 'jessicafrasz', '#wakkawakkawalker', '@', 'high…', 'https://t.co/zmg9qpm2p6']","(1048576,[82111,129725,179538,347925,443663,504963,533417,593730,633782,690450,768348,843430,1011571],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[82111,129725,179538,347925,443663,504963,533417,593730,633782,690450,768348,843430,1011571],[3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.49650756147,3.90197266957,3.49650756147,3.90197266957])",6
14,"PLAYING CATCH-UP DIS WEEKEND?? #WRKFLO #GOODMONEY?? #SWAMPED #BUTENJOYEDMYBDAITHO ???? @ Chesterfield, Virginia https://t.co/Eka7ao8S6P",0,"[-77.5039, 37.3764]","['playing', 'catch-up', 'dis', 'weekend??', '#wrkflo', '#goodmoney??', '#swamped', '#butenjoyedmybdaitho', '????', '@', 'chesterfield,', 'virginia', 'https://t.co/eka7ao8s6p']","['playing', 'catch-up', 'dis', 'weekend??', '#wrkflo', '#goodmoney??', '#swamped', '#butenjoyedmybdaitho', '????', '@', 'chesterfield,', 'virginia', 'https://t.co/eka7ao8s6p']","(1048576,[116626,330347,375690,380774,387967,553004,593730,690019,759821,811492,832027,850445,917766],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[116626,330347,375690,380774,387967,553004,593730,690019,759821,811492,832027,850445,917766],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957])",6
15,Hey is this where the party’s at ... last nights project ... I’ve always wanted to mess with the original since the… https://t.co/h1B8kSQfP1,0,"[-116.2038, 43.6141]","['hey', 'is', 'this', 'where', 'the', 'party’s', 'at', '...', 'last', 'nights', 'project', '...', 'i’ve', 'always', 'wanted', 'to', 'mess', 'with', 'the', 'original', 'since', 'the…', 'https://t.co/h1b8ksqfp1']","['hey', 'party’s', '...', 'last', 'nights', 'project', '...', 'i’ve', 'always', 'wanted', 'mess', 'original', 'since', 'the…', 'https://t.co/h1b8ksqfp1']","(1048576,[21982,101897,202478,236821,287385,395918,454281,466736,529669,548090,590418,976787,1002801,1019815],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[21982,101897,202478,236821,287385,395918,454281,466736,529669,548090,590418,976787,1002801,1019815],[3.90197266957,3.90197266957,3.49650756147,3.49650756147,3.90197266957,3.90197266957,3.90197266957,7.80394533915,3.20882548901,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
16,Love ?? the skin your in embrace your body!! No matter what size we are all beautiful ? ps: inspired by miss Kim Ka… https://t.co/bZ5hGv3IB6,0,"[-96.8, 32.7833]","['love', '??', 'the', 'skin', 'your', 'in', 'embrace', 'your', 'body!!', 'no', 'matter', 'what', 'size', 'we', 'are', 'all', 'beautiful', '?', 'ps:', 'inspired', 'by', 'miss', 'kim', 'ka…', 'https://t.co/bz5hgv3ib6']","['love', '??', 'skin', 'embrace', 'body!!', 'matter', 'size', 'beautiful', '?', 'ps:', 'inspired', 'miss', 'kim', 'ka…', 'https://t.co/bz5hgv3ib6']","(1048576,[83244,103505,191864,302697,307358,364511,391380,494879,720560,764611,788430,836388,878144,972912,1043248],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[83244,103505,191864,302697,307358,364511,391380,494879,720560,764611,788430,836388,878144,972912,1043248],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957,3.49650756147,3.90197266957])",6
17,Temp 74.2°F Wind Chill 74.2 °F RH 80% Wind 1.4 WSW Gust 5.0 WSW SLP 30.087 in Rising slowly Rain 0.00 in Solar 70 UV 1.7 #VAWX #SWVAWX #WVWX,0,"[-81.2775, 37.24166667]","['temp', '74.2°f', 'wind', 'chill', '74.2', '°f', 'rh', '80%', 'wind', '1.4', 'wsw', 'gust', '5.0', 'wsw', 'slp', '30.087', 'in', 'rising', 'slowly', 'rain', '0.00', 'in', 'solar', '70', 'uv', '1.7', '#vawx', '#swvawx', '#wvwx']","['temp', '74.2°f', 'wind', 'chill', '74.2', '°f', 'rh', '80%', 'wind', '1.4', 'wsw', 'gust', '5.0', 'wsw', 'slp', '30.087', 'rising', 'slowly', 'rain', '0.00', 'solar', '70', 'uv', '1.7', '#vawx', '#swvawx', '#wvwx']","(1048576,[21007,25009,73660,111032,159607,163986,173431,193254,223635,233508,309629,333682,346218,381390,399852,413989,439866,456887,487310,508060,608460,715636,778104,914452,1031651],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0])","(1048576,[21007,25009,73660,111032,159607,163986,173431,193254,223635,233508,309629,333682,346218,381390,399852,413989,439866,456887,487310,508060,608460,715636,778104,914452,1031651],[3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,6.41765097803,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,7.80394533915,3.90197266957,3.49650756147])",6
18,We're #hiring! Read about our latest #job opening here: Route Service Sales Representative (4 day workweek) -… https://t.co/EJSGgZDhzZ,0,"[-93.2131232, 30.2293526]","[""we're"", '#hiring!', 'read', 'about', 'our', 'latest', '#job', 'opening', 'here:', 'route', 'service', 'sales', 'representative', '(4', 'day', 'workweek)', '-…', 'https://t.co/ejsggzdhzz']","['#hiring!', 'read', 'latest', '#job', 'opening', 'here:', 'route', 'service', 'sales', 'representative', '(4', 'day', 'workweek)', '-…', 'https://t.co/ejsggzdhzz']","(1048576,[39229,45600,78474,122254,187363,285287,315714,366731,540233,604533,770186,800389,810545,849833,856842],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[39229,45600,78474,122254,187363,285287,315714,366731,540233,604533,770186,800389,810545,849833,856842],[3.90197266957,3.90197266957,3.49650756147,2.64920970108,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,2.9856819377,3.49650756147,3.90197266957,3.90197266957,3.90197266957])",6
19,"I'm at US Post Office in Dumfries, VA https://t.co/FVOe7UtH9e",0,"[-77.33257698, 38.54559347]","[""i'm"", 'at', 'us', 'post', 'office', 'in', 'dumfries,', 'va', 'https://t.co/fvoe7uth9e']","['us', 'post', 'office', 'dumfries,', 'va', 'https://t.co/fvoe7uth9e']","(1048576,[354072,489774,546160,555222,756496,959365],[1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[354072,489774,546160,555222,756496,959365],[3.90197266957,2.9856819377,3.49650756147,3.90197266957,3.49650756147,3.90197266957])",6
20,Kitty. #cat #catstagram #kitties #kitty #instagram #instacute #instadaily #instagramers  #instagramdaily #cute… https://t.co/yzifxihXKv,0,"[-75.33162, 40.12523]","['kitty.', '#cat', '#catstagram', '#kitties', '#kitty', '#instagram', '#instacute', '#instadaily', '#instagramers', '', '#instagramdaily', '#cute…', 'https://t.co/yzifxihxkv']","['kitty.', '#cat', '#catstagram', '#kitties', '#kitty', '#instagram', '#instacute', '#instadaily', '#instagramers', '', '#instagramdaily', '#cute…', 'https://t.co/yzifxihxkv']","(1048576,[52708,163201,277830,317658,369580,589534,591739,635699,727110,770698,888619,1022087,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[52708,163201,277830,317658,369580,589534,591739,635699,727110,770698,888619,1022087,1035612],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.95606252052])",6
21,Come visit me at @truereligion at @southparkmallnc from 10-3pm #truereligion #southpark #southparkmall #malljob… https://t.co/pBJ7MhCre4,0,"[-80.832182, 35.152423]","['come', 'visit', 'me', 'at', '@truereligion', 'at', '@southparkmallnc', 'from', '10-3pm', '#truereligion', '#southpark', '#southparkmall', '#malljob…', 'https://t.co/pbj7mhcre4']","['come', 'visit', '@truereligion', '@southparkmallnc', '10-3pm', '#truereligion', '#southpark', '#southparkmall', '#malljob…', 'https://t.co/pbj7mhcre4']","(1048576,[117,3177,350907,366043,466524,584363,590718,729330,853724,876922],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[117,3177,350907,366043,466524,584363,590718,729330,853724,876922],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
22,That’s a wrap for Camp JAM 2018! Thank you to all of our volunteers and to the parents for sharing your children wi… https://t.co/TfSqeN5H71,0,"[-81.17622537, 34.07459638]","['that’s', 'a', 'wrap', 'for', 'camp', 'jam', '2018!', 'thank', 'you', 'to', 'all', 'of', 'our', 'volunteers', 'and', 'to', 'the', 'parents', 'for', 'sharing', 'your', 'children', 'wi…', 'https://t.co/tfsqen5h71']","['that’s', 'wrap', 'camp', 'jam', '2018!', 'thank', 'volunteers', 'parents', 'sharing', 'children', 'wi…', 'https://t.co/tfsqen5h71']","(1048576,[30905,132458,259867,290773,354753,372343,389526,604447,653815,760780,765155,918068],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[30905,132458,259867,290773,354753,372343,389526,604447,653815,760780,765155,918068],[3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
23,"12 yrs old.... 7th GRADE STEM STUDE… https://t.co/1utlav3Qsb""",0,"[-82.81835795, 39.93361621]","['12', 'yrs', 'old....', '7th', 'grade', 'stem', 'stude…', 'https://t.co/1utlav3qsb""']","['12', 'yrs', 'old....', '7th', 'grade', 'stem', 'stude…', 'https://t.co/1utlav3qsb""']","(1048576,[577134,652355,690011,745945,793289,958901,1023141,1045794],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[577134,652355,690011,745945,793289,958901,1023141,1045794],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
24,"8 weeks old and FULL of energy! #boykinsofinstagram #yetipups @ Surfside Beach, South Carolina https://t.co/XdAv4QIkvl",0,"[-78.97305556, 33.60611111]","['8', 'weeks', 'old', 'and', 'full', 'of', 'energy!', '#boykinsofinstagram', '#yetipups', '@', 'surfside', 'beach,', 'south', 'carolina', 'https://t.co/xdav4qikvl']","['8', 'weeks', 'old', 'full', 'energy!', '#boykinsofinstagram', '#yetipups', '@', 'surfside', 'beach,', 'south', 'carolina', 'https://t.co/xdav4qikvl']","(1048576,[4200,151393,162231,193702,243545,321039,358813,593730,652403,757965,758485,885394,978197],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[4200,151393,162231,193702,243545,321039,358813,593730,652403,757965,758485,885394,978197],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957])",6
25,"Can you recommend anyone for this #job? SQL Report Developer - https://t.co/bRlAe8xgHw #Database #Orlando, FL #Hiring #CareerArc",0,"[-81.3792365, 28.5383355]","['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job?', 'sql', 'report', 'developer', '-', 'https://t.co/brlae8xghw', '#database', '#orlando,', 'fl', '#hiring', '#careerarc']","['recommend', 'anyone', '#job?', 'sql', 'report', 'developer', '-', 'https://t.co/brlae8xghw', '#database', '#orlando,', 'fl', '#hiring', '#careerarc']","(1048576,[966,129613,138193,257958,307647,339710,546607,569819,572878,639649,695983,743113,1010348],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[966,129613,138193,257958,307647,339710,546607,569819,572878,639649,695983,743113,1010348],[3.90197266957,3.20882548901,3.20882548901,3.90197266957,3.90197266957,3.90197266957,2.64920970108,2.64920970108,3.90197266957,3.90197266957,2.51567830845,3.90197266957,3.90197266957])",6
26,"Did you miss our webinar on how to measure and make the most of your #Trucking company’s resources? No worries, you… https://t.co/0cEUauX996",0,"[-81.4545936, 41.5106666]","['did', 'you', 'miss', 'our', 'webinar', 'on', 'how', 'to', 'measure', 'and', 'make', 'the', 'most', 'of', 'your', '#trucking', 'company’s', 'resources?', 'no', 'worries,', 'you…', 'https://t.co/0ceuaux996']","['miss', 'webinar', 'measure', 'make', '#trucking', 'company’s', 'resources?', 'worries,', 'you…', 'https://t.co/0ceuaux996']","(1048576,[115561,116887,139666,308893,351861,445372,494879,518461,952300,973013],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[115561,116887,139666,308893,351861,445372,494879,518461,952300,973013],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957])",6
27,"#memphis #memphisdesigner #customframing @ Frame Corner, Inc. https://t.co/SUa5tdm5BQ",0,"[-89.89352739, 35.10736702]","['#memphis', '#memphisdesigner', '#customframing', '@', 'frame', 'corner,', 'inc.', 'https://t.co/sua5tdm5bq']","['#memphis', '#memphisdesigner', '#customframing', '@', 'frame', 'corner,', 'inc.', 'https://t.co/sua5tdm5bq']","(1048576,[57237,425542,426410,501331,593730,707100,795896,927444],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[57237,425542,426410,501331,593730,707100,795896,927444],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957])",6
28,Giving the stink eye to this joint..charged me 3 bucks for 1 tomato and 1 small head of lettuce..that tomato better… https://t.co/LfzTmHSPu7,0,"[-75.16964219, 39.92444034]","['giving', 'the', 'stink', 'eye', 'to', 'this', 'joint..charged', 'me', '3', 'bucks', 'for', '1', 'tomato', 'and', '1', 'small', 'head', 'of', 'lettuce..that', 'tomato', 'better…', 'https://t.co/lfztmhspu7']","['giving', 'stink', 'eye', 'joint..charged', '3', 'bucks', '1', 'tomato', '1', 'small', 'head', 'lettuce..that', 'tomato', 'better…', 'https://t.co/lfztmhspu7']","(1048576,[134908,351218,363304,395591,455256,665496,684943,747517,751950,760520,766602,854213,889464],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1048576,[134908,351218,363304,395591,455256,665496,684943,747517,751950,760520,766602,854213,889464],[7.80394533915,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,7.80394533915,3.90197266957,3.90197266957,3.90197266957])",6
29,Off to the Market with the Mayor @dawn_moncton #farmersmarket #monctonmarket #mymoncton #moncton #monctonnb @ March… https://t.co/b5qYHThn5G,0,"[-64.7783199, 46.08751]","['off', 'to', 'the', 'market', 'with', 'the', 'mayor', '@dawn_moncton', '#farmersmarket', '#monctonmarket', '#mymoncton', '#moncton', '#monctonnb', '@', 'march…', 'https://t.co/b5qyhthn5g']","['market', 'mayor', '@dawn_moncton', '#farmersmarket', '#monctonmarket', '#mymoncton', '#moncton', '#monctonnb', '@', 'march…', 'https://t.co/b5qyhthn5g']","(1048576,[75275,359754,414546,536509,577675,593730,609471,694986,698944,861157,964967],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[75275,359754,414546,536509,577675,593730,609471,694986,698944,861157,964967],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
30,"Allez les Bleus!!! @ Brooklyn, New York https://t.co/M3mcVgoGqB",0,"[-73.95, 40.65]","['allez', 'les', 'bleus!!!', '@', 'brooklyn,', 'new', 'york', 'https://t.co/m3mcvgogqb']","['allez', 'les', 'bleus!!!', '@', 'brooklyn,', 'new', 'york', 'https://t.co/m3mcvgogqb']","(1048576,[10668,29945,591037,593730,606584,682749,811432,830367],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[10668,29945,591037,593730,606584,682749,811432,830367],[3.90197266957,3.20882548901,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.49650756147,3.90197266957])",6
